membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-06-0402-01A-01R-0280-01	3	3	5	4	5	4
TCGA-06-0409-01A-02R-0280-01	1	1	3	5	3	3
TCGA-06-0410-01A-01R-0280-01	2	2	2	2	6	6
TCGA-06-0412-01A-01R-0280-01	1	1	3	3	3	3
TCGA-06-0413-01A-01R-0280-01	2	2	2	2	2	2
TCGA-06-0414-01A-01R-0280-01	2	4	2	2	2	2
TCGA-06-0644-01A-02R-0306-01	1	1	3	1	1	1
TCGA-06-0645-01A-01R-0306-01	1	1	3	5	3	8
TCGA-06-0646-01A-01R-0306-01	2	4	2	5	3	2
TCGA-06-0648-01A-01R-0306-01	2	4	2	2	2	2
TCGA-06-0649-01B-01R-0338-01	1	1	4	5	3	5
TCGA-06-0686-01A-01R-0338-01	2	4	2	2	2	2
TCGA-06-0743-01A-01R-0338-01	3	3	5	4	4	5
TCGA-06-0744-01A-01R-0338-01	2	3	5	4	5	4
TCGA-06-0745-01A-01R-0338-01	2	2	2	2	6	2
TCGA-06-0747-01A-01R-0338-01	3	3	5	4	5	4
TCGA-06-0749-01A-01R-0338-01	2	4	4	2	2	7
TCGA-06-0750-01A-01R-0338-01	1	1	3	3	3	3
TCGA-06-0875-01A-01R-0389-01	2	4	2	2	2	2
TCGA-06-0876-01A-01R-0389-01	3	3	5	4	5	5
TCGA-06-0877-01A-01R-0389-01	3	3	5	4	5	4
TCGA-06-0878-01A-01R-0389-01	3	3	5	3	3	3
TCGA-06-0879-01A-01R-0389-01	3	3	5	4	5	5
TCGA-06-0881-01A-02R-0389-01	1	1	3	5	3	1
TCGA-06-0882-01A-01R-0389-01	3	4	4	4	4	7
TCGA-06-0939-01A-01R-1230-01	1	1	4	5	7	8
TCGA-06-1084-01A-01R-0522-01	1	1	1	1	1	1
TCGA-06-1086-01A-02R-0522-01	1	2	1	1	1	1
TCGA-06-1087-01A-02R-0522-01	2	2	1	1	1	1
TCGA-06-1800-01A-01R-0596-01	1	1	3	3	3	2
TCGA-06-1801-01A-02R-0596-01	2	4	2	2	2	2
TCGA-06-1802-01A-01R-0596-01	1	1	2	3	3	2
TCGA-06-1805-01A-01R-0596-01	2	4	4	2	2	2
TCGA-06-2557-01A-01R-0789-01	2	4	4	6	7	8
TCGA-06-2558-01A-01R-0789-01	2	4	2	2	2	2
TCGA-06-2559-01A-01R-0789-01	2	2	2	2	6	2
TCGA-06-2561-01A-02R-0789-01	3	4	4	4	4	7
TCGA-06-2562-01A-01R-0789-01	3	3	5	3	5	4
TCGA-06-2563-01A-01R-0789-01	3	3	5	4	5	4
TCGA-06-2564-01A-01R-0789-01	3	3	5	4	5	4
