Country	Population	Birth Rate	Death Rate		GDP	GDP per capita	Imports	Exports	Inflation Rate
Colombia	45644023	19.57	5.54	38530000000	396000000000	9200	37560000000	38530000000	7
Comoros	752438	35.23	7.57	32000000	741700000	1000	143000000	32000000	3
Congo, Democratic Republic of the	68692542	42.63	11.63	6100000000	20760000000	300	5200000000	6100000000	16.7
Congo, Republic of the	4012809	41.37	12.01	10850000000	15390000000	3900	3105000000	10850000000	7.3
Cook Islands	11870	16.18	NaN	5222000	183200000	9100	81040000	5222000	2.1
Costa Rica	4253877	17.43	4.34	9738000000	48840000000	11600	14550000000	9738000000	13.4
Cote d'Ivoire	20617068	32.11	10.78	10090000000	34120000000	1700	6760000000	10090000000	6.3
Croatia	4489409	9.64	11.75	14360000000	82580000000	18400	30420000000	14360000000	6.1
Cuba	11451652	11.13	7.24	3680000000	108400000000	9500	14250000000	3680000000	3.4
Cyprus	796740	12.57	7.8	1906000000	22760000000	21300	10540000000	1906000000	4.7
Czech Republic	10211904	8.83	10.74	145700000000	264800000000	25900	139400000000	145700000000	6.3
Denmark	5500510	10.54	10.22	114900000000	204100000000	37200	116400000000	114900000000	3.4
Djibouti	516055	38.13	19.1	340000000	1891000000	2700	1555000000	340000000	5
Dominica	72660	15.73	8.2	94000000	726300000	10000	296000000	94000000	2.7
Dominican Republic	9650054	22.39	5.28	6950000000	78190000000	8200	16100000000	6950000000	10.6
Ecuador	14573101	20.77	4.99	19150000000	108000000000	7500	17790000000	19150000000	8.3
Egypt	83082869	21.7	5.08	29850000000	444800000000	5800	56620000000	29850000000	18.3
El Salvador	7185218	25.31	5.47	4611000000	43730000000	6200	9003000000	4611000000	7.3
Equatorial Guinea	633441	36.52	9.49	13030000000	23000000000	37300	3114000000	13030000000	7.5
Eritrea	5647168	34.2	8.43	13000000	3954000000	700	601000000	13000000	18
Estonia	1299371	10.37	13.42	12630000000	28030000000	21400	15350000000	12630000000	10.4
Ethiopia	85237338	43.66	11.55	1555000000	70230000000	900	7206000000	1555000000	44.4
Falkland Islands (Islas Malvinas)	3140	NaN	NaN	125000000	105100000	35400	90000000	125000000	3.5
Faroe Islands	48856	13.04	8.66	634000000	1000000000	31000	751000000	634000000	3.6
Fiji	944720	21.92	5.66	1202000000	3587000000	3800	3120000000	1202000000	1.8
Finland	5250275	10.38	10.07	96620000000	194000000000	37000	87510000000	96620000000	4.8
France	64057792	12.57	8.56	601900000000	2133000000000	33300	692000000000	601900000000	4.1
French Polynesia	287032	15.91	4.73	211000000	4718000000	18000	1706000000	211000000	2.8
Gabon	1514993	35.57	12.76	9333000000	21160000000	14200	2577000000	9333000000	1.1
Gambia, The	1782893	37.87	11.49	85000000	2277000000	1300	299000000	85000000	5.3
Gaza Strip	1551859	36.93	3.44	339000000	11950000000	2900	2840000000	339000000	4.5
Georgia	4615807	10.66	9.65	2428000000	21560000000	4700	6261000000	2428000000	11.5
Germany	82329758	8.18	10.9	1498000000000	2925000000000	35500	1232000000000	1498000000000	10
