Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_004161	76.41	37.99	39.8	38.8	35.76	43.83	51.64	42.84	95.32	109.46	46.28	47.02	150.98	143.14	38.34	49.22	90.02	71.73	78.95	118.76	78.5	105.6	121.96	107.11	91.51	
NM_001344	76.47	45.34	45.2	35.97	35.09	46.44	55.61	59.99	82.19	97.47	42.95	57.0	190.16	136.8	38.16	51.23	97.36	77.21	72.68	82.17	98.09	96.89	118.19	97.12	64.14	
NM_017811	53.19	40.25	48.93	41.02	25.15	38.72	30.75	40.82	61.22	70.27	37.69	42.02	146.31	75.47	23.65	36.64	55.3	60.09	79.78	96.97	114.02	84.23	83.37	81.78	71.88	
NM_002709	66.5	53.98	42.22	42.01	35.1	46.27	43.48	57.09	97.27	152.7	45.2	58.08	102.5	103.08	27.6	25.88	51.14	52.73	66.02	100.21	118.38	73.35	93.54	65.5	51.65	
NM_002802	66.1	53.13	50.2	46.62	40.83	44.26	33.08	53.35	85.41	84.68	74.85	62.44	153.59	104.52	27.32	36.76	69.52	56.62	71.46	81.27	104.76	78.93	98.06	60.63	55.77	
NM_005063	110.44	33.36	25.15	39.76	7.66	72.65	214.23	65.52	125.45	171.41	29.83	39.65	204.67	295.29	47.84	59.18	102.91	110.59	141.13	235.1	367.06	128.65	203.78	114.86	137.05	
NM_006004	29.41	34.39	43.54	40.43	45.15	34.95	51.91	112.81	99.53	146.07	40.2	47.9	209.18	235.75	63.03	70.41	142.1	117.9	120.61	141.87	157.94	104.78	118.85	114.26	82.87	
NM_006004	35.54	40.58	51.87	42.79	50.17	44.17	70.51	99.89	93.6	157.45	36.05	57.2	235.4	243.54	56.29	70.62	133.01	144.76	126.54	123.19	194.37	114.71	139.57	121.18	100.13	
NM_005719	48.49	32.87	44.15	27.94	28.0	30.77	30.31	51.72	206.76	225.4	73.79	70.68	216.49	214.92	52.14	51.54	117.12	94.34	132.95	153.52	142.18	101.35	112.63	85.45	64.72	
NM_003746	63.29	30.1	25.63	27.68	25.66	29.23	32.4	46.9	116.61	117.8	44.51	51.94	250.04	168.84	40.81	55.58	121.25	85.65	114.08	126.83	136.01	106.07	111.68	113.05	83.76	
NM_005216	35.9	40.2	42.63	33.79	20.64	34.26	51.67	76.51	131.41	109.63	53.24	47.9	242.94	232.53	61.29	79.9	122.36	140.26	116.73	230.05	154.84	198.25	179.6	110.55	111.41	
NM_006908	39.83	38.54	36.52	35.24	21.18	33.5	33.66	59.75	163.56	172.2	62.22	76.31	271.28	153.62	54.53	61.79	98.51	89.63	182.99	209.79	147.19	170.62	204.88	130.32	119.82	
NM_006559	34.48	42.68	44.13	41.07	33.35	45.51	44.53	53.93	100.79	151.12	66.96	76.49	254.02	259.02	79.27	104.37	154.46	184.88	150.06	124.35	164.71	120.01	134.98	128.77	83.18	
NM_002710	24.83	29.42	31.88	34.19	27.01	26.71	48.03	45.75	111.61	106.48	77.16	80.1	224.54	200.71	76.81	86.68	141.33	141.46	97.05	137.8	135.37	112.15	115.82	99.94	82.46	
NM_000175	54.51	49.45	32.21	22.89	19.76	26.53	74.19	186.74	112.94	99.17	48.83	71.82	178.1	105.7	46.58	46.41	61.89	69.98	73.72	112.95	205.13	125.01	209.33	126.53	149.81	
NM_012479	106.6	53.84	34.5	50.01	55.48	39.7	55.32	90.13	127.56	162.87	119.87	149.95	168.61	155.01	39.88	67.69	91.71	80.19	129.63	125.49	177.89	117.59	112.45	121.92	89.9	
NM_002807	72.13	49.42	34.83	33.03	38.5	43.69	63.69	59.77	92.72	106.97	74.48	74.61	225.71	174.91	29.97	60.34	118.46	94.71	116.84	131.17	136.18	119.61	109.02	126.98	78.39	
NM_002154	107.48	52.53	26.09	26.42	33.9	29.18	92.52	55.67	81.38	89.86	56.59	63.49	216.51	144.63	33.87	54.9	89.51	75.2	116.6	160.72	174.45	141.58	183.15	160.68	105.58	
NM_001349	88.05	51.2	45.62	46.24	41.69	40.7	66.17	53.09	135.48	148.37	62.11	88.18	117.25	105.57	61.8	56.64	112.4	111.85	108.05	144.94	103.96	127.58	140.47	155.48	109.81	
NM_003374	66.17	50.98	65.39	42.29	36.35	40.82	160.99	67.12	125.94	117.7	47.99	65.34	170.49	136.29	39.72	43.41	79.8	75.75	75.4	107.94	131.98	122.05	151.59	135.1	100.11	
NM_005175	113.84	52.74	63.67	40.32	38.94	43.81	111.09	78.73	136.89	163.31	54.76	71.12	198.76	187.5	54.45	68.75	115.65	129.62	82.04	109.99	134.63	127.21	124.69	128.29	105.93	
NM_004343	31.87	57.06	59.4	6.9	33.19	66.38	58.81	257.16	145.52	175.25	69.67	61.36	123.97	309.11	71.1	107.26	134.51	139.29	125.34	121.97	72.78	52.02	62.13	115.49	89.49	
NM_002085	95.53	75.73	165.21	78.11	46.33	87.51	135.57	267.93	99.22	98.31	33.55	25.19	160.71	213.7	39.76	50.4	94.88	91.9	258.73	236.37	192.39	119.52	144.44	180.75	181.5	
NM_005174	141.77	57.49	90.88	56.12	47.54	55.96	61.95	72.8	92.04	122.82	35.29	31.75	167.61	162.59	42.27	51.51	104.7	89.56	106.52	168.68	268.9	151.4	154.76	147.11	112.07	
NM_004046	118.44	61.17	96.33	53.51	37.77	51.93	35.57	96.79	86.49	81.71	25.3	24.53	146.67	179.73	43.79	56.61	92.91	90.05	106.75	152.96	215.84	130.65	159.06	126.87	112.19	
NM_003790	49.44	34.3	67.25	44.87	102.93	84.7	77.46	79.08	115.7	87.88	25.91	28.99	219.77	121.05	51.43	77.27	65.93	67.67	135.5	112.62	49.73	99.63	57.91	102.84	64.78	
NM_018947	102.51	47.92	30.79	36.02	50.8	45.59	37.0	117.61	35.08	51.03	37.0	47.1	309.47	186.23	32.64	52.92	110.04	92.64	126.57	110.0	99.5	116.68	133.38	125.16	142.4	
NM_005003	144.31	66.72	82.37	86.52	72.63	77.09	92.65	104.23	30.76	35.6	24.35	26.26	235.94	174.1	34.67	55.52	109.28	101.8	85.38	91.01	121.74	91.6	115.43	115.8	82.66	
NM_003761	66.76	91.48	67.08	70.81	58.38	59.63	77.84	62.91	42.48	66.02	23.46	31.91	152.27	133.41	43.31	76.27	132.29	147.41	72.31	80.3	82.69	93.65	85.01	91.45	84.76	
NM_001694	103.33	80.91	59.67	48.66	35.0	47.33	89.09	73.03	49.38	47.03	23.54	37.6	151.53	132.48	31.46	56.51	92.53	90.95	80.79	105.17	132.79	91.2	102.2	80.96	70.1	
NM_001689	87.16	41.23	57.43	42.33	43.8	39.33	80.62	77.26	58.62	59.05	26.41	23.53	140.89	132.0	45.09	57.21	86.42	76.8	78.33	96.65	80.11	87.55	117.7	105.72	78.71	
NM_004888	128.38	59.99	68.83	45.61	52.69	49.96	58.02	69.19	40.2	63.67	41.27	38.64	160.89	184.35	64.35	69.93	139.72	124.28	80.03	111.84	197.31	97.3	99.52	103.26	78.48	
NM_002128	87.27	42.76	73.1	56.48	47.47	60.45	68.05	64.28	35.4	56.96	39.02	49.61	252.04	224.19	50.18	78.62	135.69	127.92	146.83	140.65	115.42	82.85	95.13	89.01	40.83	
NM_002156	213.65	59.01	72.32	52.11	64.79	66.74	161.02	45.45	91.36	96.39	31.02	46.46	228.5	258.62	71.26	98.09	201.61	175.88	208.64	178.87	122.32	105.87	122.69	148.72	114.54	
NM_001688	281.49	69.61	66.16	61.08	68.14	61.44	82.51	69.16	68.26	104.46	48.68	58.09	150.6	121.49	33.45	43.65	83.04	86.27	87.27	73.12	107.83	77.11	87.57	75.65	67.1	
NM_013387	139.08	80.67	73.36	86.38	71.34	70.67	105.66	108.18	75.15	106.89	45.12	55.69	127.8	145.29	36.35	49.66	100.51	93.11	80.87	98.01	100.27	67.09	79.83	77.63	65.17	
NM_006930	119.39	78.69	72.89	68.58	62.45	63.39	123.55	123.82	84.08	112.36	52.02	67.37	160.9	147.21	34.95	50.93	95.26	88.66	73.22	80.17	121.73	83.41	116.17	109.41	71.58	
NM_004889	136.06	45.31	68.68	52.41	43.34	53.67	62.04	142.37	87.93	116.17	44.76	32.75	267.35	292.98	67.61	72.96	163.82	140.48	69.53	68.22	83.73	85.46	84.78	94.02	69.29	
NM_006930	131.8	51.1	86.84	53.45	53.72	57.19	91.07	160.8	146.6	156.7	49.28	43.62	276.6	220.42	53.87	61.22	106.4	89.41	102.6	135.19	137.11	108.6	104.05	142.73	75.27	
NM_000516	94.33	52.35	70.56	69.63	31.3	48.76	38.16	13.76	136.76	128.53	57.01	54.75	788.65	272.18	71.94	80.88	112.02	126.02	158.92	165.8	212.8	158.52	153.95	111.31	130.2	
NM_005381	108.79	47.26	41.04	34.72	25.69	41.64	67.16	72.31	83.04	84.85	56.76	60.21	339.62	248.05	74.89	109.46	180.79	176.87	191.61	201.71	142.86	160.03	136.46	165.42	107.87	
NM_003095	73.03	37.04	31.79	51.68	40.94	33.78	52.44	45.34	107.66	144.82	68.54	90.63	400.81	343.62	91.68	126.88	216.17	218.61	198.7	182.49	197.16	146.73	131.42	175.41	91.47	
NM_003095	66.53	36.79	31.97	48.59	34.21	33.06	57.3	42.09	123.32	151.83	70.7	69.06	319.4	379.18	105.48	126.52	237.51	208.66	170.06	176.15	192.24	151.32	143.76	145.21	80.11	
NM_003096	80.18	32.9	50.66	39.53	45.07	46.38	35.96	45.73	118.42	148.78	78.61	55.97	293.96	334.71	63.21	65.26	148.73	114.15	207.19	248.87	142.91	165.08	198.08	180.71	94.25	
NM_001469	76.7	58.22	53.38	52.78	44.13	50.68	76.43	46.63	119.93	126.56	90.27	103.81	296.47	244.24	63.99	88.56	160.99	153.33	215.73	167.22	204.66	161.81	175.47	139.61	110.88	
NM_006213	69.15	53.2	54.57	58.76	40.05	46.42	56.99	83.47	119.4	117.09	52.29	77.74	246.02	243.04	61.39	75.64	134.11	136.56	174.37	222.27	161.45	179.57	205.62	155.68	134.61	
NM_003535	83.61	67.4	93.89	44.55	46.53	47.38	131.42	78.16	156.88	157.53	134.4	127.82	375.35	331.08	126.88	116.23	142.58	185.63	115.38	167.15	105.13	99.7	111.75	90.3	40.33	
NM_015646	122.48	68.79	86.46	103.56	109.7	75.68	55.37	76.74	186.13	249.38	211.24	221.22	235.63	242.54	65.67	110.81	155.33	131.84	129.41	131.69	137.09	120.92	105.42	92.98	78.01	
NM_005801	125.51	70.27	57.8	56.76	74.46	70.25	55.6	76.05	231.61	340.83	108.86	153.38	157.63	211.66	83.73	77.54	129.27	142.69	101.82	129.44	88.48	89.03	109.42	98.45	97.49	
NM_001746	101.64	63.31	68.93	53.41	49.88	74.69	203.51	205.45	129.97	128.99	63.99	85.29	251.64	190.18	68.62	82.41	155.82	138.28	149.58	165.31	159.56	212.7	245.7	205.47	156.86	
NM_006356	152.5	93.17	104.57	103.64	79.54	87.5	133.68	143.67	137.37	150.31	71.45	69.05	326.21	193.66	45.16	55.4	106.54	94.73	96.75	105.42	116.92	91.67	107.84	102.41	94.84	
NM_005917	156.02	96.33	82.28	78.51	101.92	91.82	132.78	144.06	94.91	154.4	57.07	69.87	181.55	197.53	48.41	48.91	78.39	82.4	139.99	118.51	111.88	123.75	111.55	103.38	122.73	
NM_004371	130.44	88.28	82.68	78.4	58.35	60.78	103.88	140.33	163.36	115.74	87.33	99.77	178.88	138.29	46.61	54.93	98.34	90.14	107.87	121.34	51.82	127.28	130.44	116.56	115.85	
NM_021128	104.95	75.89	81.18	74.79	51.34	63.77	96.48	95.54	128.75	136.79	87.33	69.7	158.0	125.82	30.8	44.03	98.27	83.24	114.36	122.47	133.44	131.07	114.3	111.8	96.91	
NM_018209	130.85	74.37	67.86	70.04	58.89	58.02	83.42	156.57	104.55	115.89	67.0	71.72	139.8	135.41	32.15	52.98	78.32	63.86	110.45	146.49	119.91	126.03	147.65	123.88	103.29	
NM_033546	166.66	98.49	89.81	70.21	89.85	75.67	68.63	76.77	71.92	133.06	59.13	82.61	964.98	189.99	44.43	53.94	97.95	112.26	118.33	113.21	137.41	195.93	226.92	156.62	110.13	
NM_003340	160.81	72.96	93.43	78.08	94.98	98.54	70.88	64.98	115.19	102.42	79.57	76.52	174.02	164.18	61.81	83.94	106.52	103.47	87.43	113.13	100.75	107.1	102.51	87.83	63.43	
NM_003299	122.76	78.87	82.06	59.44	61.16	101.72	83.5	117.81	116.01	165.09	56.69	69.55	203.15	270.45	69.26	94.27	159.1	150.33	123.75	178.98	150.44	143.45	153.25	111.73	97.84	
NM_006947	148.87	79.11	57.76	53.64	50.93	75.24	86.8	45.79	102.67	114.66	68.01	66.48	173.17	163.38	60.12	86.3	133.53	137.86	198.39	189.48	127.59	120.3	114.74	110.99	92.02	
NM_003133	200.67	84.23	87.63	78.61	69.91	85.94	86.59	85.28	38.71	94.08	61.25	66.75	222.54	216.46	50.38	70.38	131.0	122.55	182.79	168.34	196.04	152.1	166.97	174.89	123.8	
NM_004788	138.37	78.27	76.92	78.48	83.98	81.79	74.05	139.32	97.62	172.83	91.26	109.92	196.34	189.59	37.59	59.43	108.3	98.8	123.8	128.2	219.71	145.58	168.31	168.01	131.74	
NM_001697	140.16	95.68	102.1	92.16	70.97	83.29	86.4	147.29	115.81	148.5	55.57	58.59	194.89	208.01	49.42	61.65	126.05	120.77	140.46	161.38	163.69	127.16	164.3	183.15	132.89	
NM_002494	194.07	83.72	127.99	129.72	127.44	112.49	106.98	101.25	106.12	177.62	51.35	65.54	169.09	189.06	63.38	69.75	125.03	113.64	151.94	172.28	153.17	140.5	149.49	222.56	125.96	
NM_003337	87.29	42.97	38.64	114.85	76.49	54.53	71.45	44.23	46.28	68.77	303.0	380.94	74.87	67.35	220.09	230.1	104.92	184.2	41.81	53.47	65.93	95.52	140.33	124.16	109.57	
NM_002414	123.86	101.6	86.83	126.01	88.24	71.16	144.72	67.44	107.79	142.17	69.53	101.06	51.25	53.51	14.86	15.37	24.12	25.56	97.3	127.32	231.42	200.57	141.81	155.21	188.18	
NM_001001	95.72	59.03	94.26	74.5	67.93	92.52	43.47	90.8	176.69	233.5	79.33	82.56	374.82	88.41	23.99	31.04	68.82	56.21	90.97	143.7	126.73	121.42	125.06	95.53	70.62	
NM_002870	131.42	74.22	58.58	65.03	55.1	53.39	79.15	99.92	182.66	171.3	78.77	91.76	71.81	80.08	21.57	26.43	43.03	46.67	62.14	80.07	73.47	102.74	102.49	115.94	67.79	
NM_001540	193.1	114.09	36.53	65.46	36.02	57.39	211.98	99.55	296.81	264.06	109.83	149.3	130.69	152.03	46.65	47.91	60.64	59.76	235.97	331.48	280.12	160.26	145.07	158.38	125.92	
NM_001636	80.68	54.22	35.54	38.16	41.43	29.97	71.1	33.72	369.82	297.3	101.56	154.64	58.84	82.28	32.99	28.25	36.47	45.35	129.85	180.96	247.24	236.2	239.68	220.18	242.55	
NM_000291	91.07	45.72	43.97	39.24	47.44	43.76	54.57	59.78	213.49	214.55	133.92	223.52	69.9	67.16	22.76	28.59	44.27	53.91	93.88	152.08	222.78	197.91	259.58	179.71	215.65	
NM_002569	144.91	76.66	111.8	120.97	88.18	101.35	46.74	102.77	15.87	18.86	21.46	19.14	304.72	179.92	49.1	103.11	147.6	144.89	102.78	141.13	124.55	533.35	615.87	451.46	170.91	
NM_005271	291.72	167.47	261.75	393.21	157.18	225.19	299.41	105.38	62.61	48.98	27.44	36.76	156.24	134.18	85.45	93.82	165.97	146.51	129.57	177.69	95.79	98.76	109.46	97.69	77.77	
NM_002567	541.38	276.97	481.01	494.51	264.7	318.86	461.72	342.55	60.2	53.9	19.65	33.07	123.62	99.73	36.47	52.15	89.32	86.75	124.91	91.74	194.4	149.97	147.87	121.53	149.92	
NM_003001	494.15	162.19	188.27	174.29	141.42	170.29	190.75	171.25	64.28	122.08	48.66	56.44	214.7	167.92	38.23	55.27	112.05	113.97	132.34	115.82	192.67	158.95	170.27	180.93	145.89	
NM_004545	221.38	122.51	124.84	152.74	145.42	141.05	62.35	209.13	76.14	137.37	53.76	53.1	106.2	124.2	25.51	39.97	70.91	68.65	104.53	128.58	218.72	136.52	136.21	161.46	117.11	
NM_001862	206.15	72.51	170.36	141.28	111.53	116.05	123.72	240.23	85.9	95.38	28.2	27.95	163.53	155.21	48.03	58.1	82.18	86.8	123.42	147.62	175.73	119.0	113.29	134.88	107.12	
NM_002948	113.9	109.81	96.26	109.35	76.67	111.64	105.69	108.35	156.89	181.98	55.26	68.79	439.04	520.93	234.12	271.43	420.12	482.17	79.1	102.75	110.45	102.44	131.17	117.59	105.12	
NM_021074	229.75	108.56	198.95	138.8	111.45	114.33	136.37	107.6	62.66	82.31	25.68	25.21	399.54	339.04	82.17	110.05	206.32	190.16	138.64	212.47	230.1	203.29	223.62	201.43	129.76	
NM_004549	308.0	110.0	172.23	195.16	117.12	122.4	177.02	201.77	94.61	109.06	44.27	46.05	410.94	292.21	67.76	71.69	170.85	132.59	198.42	226.66	280.1	188.46	169.56	192.3	140.04	
NM_004373	290.62	109.95	165.36	141.26	94.11	103.97	174.13	236.31	189.23	235.96	79.82	74.43	204.05	278.8	69.22	83.05	158.83	149.4	184.06	220.05	207.39	151.14	168.47	159.7	129.6	
NM_005005	536.11	105.24	118.73	114.99	81.33	80.5	313.36	302.24	129.85	122.17	62.48	61.64	304.35	228.41	82.81	90.1	154.5	133.41	164.77	248.23	183.15	135.84	179.19	140.06	110.18	
NM_016050	156.31	97.57	86.83	90.31	89.38	88.39	92.2	149.26	63.68	81.81	39.38	53.45	477.46	352.02	119.38	135.11	268.85	203.4	152.51	139.25	118.03	102.67	116.8	97.19	73.19	
NM_001861	172.75	134.69	111.43	155.39	100.69	105.41	162.8	196.63	124.44	106.81	49.49	64.13	275.26	277.78	70.27	92.08	148.07	125.11	124.85	155.62	135.68	143.64	167.37	147.88	124.3	
NM_001863	131.78	81.99	81.72	94.53	78.37	66.15	115.34	309.31	112.44	132.65	44.02	48.82	257.53	326.68	80.44	100.74	193.2	162.47	165.52	161.06	162.24	166.5	198.92	155.09	126.08	
NM_002128	156.93	90.98	129.46	118.26	80.23	112.83	102.46	136.64	61.48	90.18	76.21	61.52	394.23	420.86	86.21	144.23	255.68	224.31	288.48	269.28	256.6	192.39	217.76	144.68	85.79	
NM_004547	181.44	102.55	107.22	109.87	103.47	109.75	80.87	131.05	152.47	243.54	98.45	95.87	434.04	423.15	84.72	119.94	214.89	224.25	178.34	182.79	279.21	110.73	135.82	141.97	107.83	
NM_002799	133.56	121.05	133.36	135.26	104.47	98.64	131.38	97.1	133.48	144.06	76.93	66.53	405.97	306.82	84.97	117.01	252.6	209.69	151.81	183.93	262.1	186.44	201.05	188.8	164.4	
NM_020548	284.13	118.37	265.31	227.86	211.94	315.93	141.56	164.64	158.55	262.0	82.99	75.61	619.69	697.53	158.87	183.41	410.88	327.67	374.34	398.7	203.61	194.39	228.15	276.89	159.14	
NM_002489	386.26	218.45	249.36	256.89	277.39	229.35	197.36	680.02	162.05	252.42	97.21	103.37	758.13	614.9	158.74	198.71	392.85	342.87	312.49	274.03	301.55	273.03	319.71	361.0	224.97	
NM_001863	241.66	145.02	160.87	144.26	136.8	135.84	208.15	574.36	231.04	262.67	83.13	76.95	646.85	624.2	159.07	164.59	265.1	271.86	334.46	383.89	333.66	308.61	305.96	319.79	228.9	
NM_004541	244.49	154.17	196.45	197.07	199.59	181.13	221.5	414.56	207.34	365.15	127.97	105.07	253.84	304.88	75.04	85.09	162.05	130.87	207.23	240.04	349.73	227.21	276.43	294.35	236.49	
NM_001866	335.76	169.65	216.55	169.36	178.38	182.58	189.29	313.23	185.13	286.82	81.21	67.6	465.06	291.85	59.18	80.43	163.08	158.65	225.73	246.65	287.87	247.94	278.82	274.17	259.95	
NM_001865	350.61	146.03	173.4	180.65	193.95	165.61	192.1	345.44	144.76	200.57	60.1	65.82	474.54	438.28	91.47	110.43	200.14	168.94	269.55	284.08	332.27	223.35	255.94	256.11	154.94	
NM_004374	572.98	183.49	197.1	257.85	220.66	195.37	584.22	356.38	122.14	203.74	81.69	92.48	281.82	294.49	85.64	109.76	151.58	166.07	175.47	195.92	217.65	158.72	160.96	190.75	133.45	
NM_018955	374.52	189.33	325.6	403.12	311.53	270.19	303.49	291.04	159.65	165.15	115.13	143.85	458.18	412.14	121.55	160.33	295.57	247.49	205.03	210.72	189.15	200.74	195.51	172.67	120.08	
NM_000034	29.35	21.54	12.13	11.06	9.29	7.87	21.63	17.25	253.92	163.93	69.47	99.59	319.71	194.77	100.17	90.92	131.64	160.47	101.89	164.83	230.97	157.07	244.49	159.96	147.22	
NM_002356	23.31	26.39	17.19	14.11	11.45	10.87	66.44	13.46	159.61	283.64	104.26	118.18	383.86	323.51	91.12	146.73	192.63	227.59	156.46	139.76	171.09	166.03	142.47	84.6	79.91	
NM_002952	32.6	27.13	40.7	14.6	16.55	21.95	57.34	53.73	270.53	226.78	65.94	46.16	194.94	409.09	87.34	115.33	162.08	171.42	169.24	223.84	106.09	97.99	162.55	193.03	117.55	
NM_178014	9.89	30.56	31.96	35.87	17.91	30.19	47.57	47.03	338.07	234.51	100.61	143.77	242.66	312.88	65.15	82.07	145.62	126.8	337.81	294.94	135.66	110.23	120.96	101.28	71.14	
NM_003289	29.04	20.08	11.0	6.58	13.17	6.21	8.74	20.42	523.05	473.57	102.67	154.53	298.86	201.56	31.36	41.81	51.79	50.79	152.11	244.0	153.84	185.19	205.6	179.98	121.66	
NM_000366	45.56	66.79	36.41	16.83	22.27	13.31	31.5	48.08	858.95	1172.44	315.41	306.52	285.14	156.76	26.62	51.72	60.93	65.28	152.09	144.58	140.53	161.53	155.5	140.79	119.62	
NM_000852	9.39	41.77	12.93	6.52	11.99	6.29	6.88	11.13	277.12	234.33	87.69	75.87	1336.84	1356.23	339.89	328.02	713.76	533.18	355.12	559.55	479.97	443.06	444.58	337.86	321.11	
NM_002654	24.92	50.26	13.14	14.55	17.83	12.02	21.61	33.69	986.62	939.02	756.14	805.86	960.38	684.9	290.48	278.06	458.46	459.6	283.83	466.16	492.18	612.52	808.91	386.55	403.1	
NM_002654	10.39	15.58	7.22	3.65	5.3	4.43	9.63	15.51	580.26	567.11	315.2	372.54	526.96	367.95	114.04	132.85	210.08	243.35	154.07	238.09	244.43	300.46	374.86	215.44	184.5	
NM_024492	156.03	104.56	363.63	192.19	106.91	213.18	118.6	276.92	0.8	1.1	17.44	39.91	1.8	0.99	42.87	62.31	32.25	58.74	0.24	0.41	0.34	4.54	5.38	2.82	3.82	
NM_000597	338.18	271.84	244.68	104.23	141.7	149.36	454.53	213.17	2.65	1.61	1.04	0.69	42.07	55.84	107.76	66.11	89.94	87.71	0.54	0.83	1.17	2.14	1.24	24.86	3.99	
NM_000045	165.55	74.97	212.6	133.36	123.75	115.35	174.53	88.76	1.29	0.48	0.63	0.32	5.52	6.95	50.2	40.83	45.15	66.05	0.39	0.91	1.02	0.44	0.48	0.9	5.96	
NM_145740	1200.6	600.97	2600.28	2296.8	1220.91	1972.77	2246.45	1084.47	0.71	1.13	1.57	0.87	3.67	6.96	6.42	15.57	25.39	27.87	5.62	9.16	3.58	0.89	0.57	0.67	5.29	
NM_001710	683.27	586.24	694.64	496.11	374.18	578.22	402.64	366.5	0.98	0.87	1.39	0.88	11.38	11.71	6.04	9.12	11.7	15.78	7.18	14.89	7.84	0.77	1.82	5.66	9.22	
NM_005518	1033.43	182.49	679.57	657.22	306.59	526.86	177.1	344.02	0.74	1.43	0.69	0.73	2.05	0.95	17.59	18.58	27.12	33.03	1.64	0.83	42.05	5.64	5.54	14.08	44.83	
NM_006798	83.37	206.9	475.54	479.15	328.7	395.8	584.9	162.21	0.28	0.71	1.21	0.54	3.11	1.31	1.96	3.38	3.76	5.12	5.2	3.32	1.4	9.21	12.65	8.06	7.21	
NM_021139	233.02	151.63	311.45	295.05	220.86	183.92	1241.71	47.58	0.52	0.67	0.36	0.19	2.44	1.79	3.31	10.41	13.89	14.47	9.49	6.3	1.31	8.38	10.24	4.39	13.36	
NM_021139	129.31	264.48	467.39	424.03	271.42	304.3	780.92	107.43	1.51	2.48	0.47	0.61	9.34	2.9	1.74	7.37	7.88	13.64	5.39	3.97	0.84	6.26	6.1	4.05	7.83	
NM_001074	120.88	244.5	384.68	346.1	220.62	261.59	699.43	74.01	0.81	1.71	0.54	0.64	1.07	1.11	2.47	6.71	10.64	8.87	3.92	2.4	0.96	4.65	3.43	3.38	5.94	
NM_000898	183.62	118.86	214.48	211.5	133.99	184.05	165.41	170.27	0.27	0.83	0.77	0.81	117.84	13.2	7.51	9.83	13.27	18.14	20.47	11.33	0.63	0.58	0.37	0.4	0.24	
NM_000063	92.53	152.38	183.04	174.63	117.79	154.15	152.33	290.35	1.04	0.8	3.32	3.86	24.96	16.23	23.55	32.41	37.87	53.0	19.0	25.2	4.49	0.92	1.71	5.16	4.06	
NM_000624	34.41	49.99	149.05	118.8	38.45	83.15	14.12	212.81	0.51	0.99	0.33	0.42	28.42	16.16	6.47	8.96	12.6	16.43	54.04	31.14	2.69	3.56	2.75	12.1	5.56	
NM_000035	4583.05	2378.93	5231.56	7066.46	3462.31	5396.59	882.01	7108.29	0.93	0.27	1.09	0.49	0.26	0.31	1.23	0.44	0.92	0.31	0.31	0.43	45.76	5.94	3.77	10.97	54.58	
NM_000762	1.58	676.66	1543.35	1349.54	609.84	865.04	420.83	2737.04	0.51	0.57	0.91	0.67	0.5	0.32	0.28	0.36	0.46	0.37	0.39	0.45	0.4	0.49	0.34	0.47	0.66	
NM_000762	0.92	459.2	1345.62	1156.22	525.46	736.77	363.56	2108.97	0.73	0.43	2.64	0.81	0.56	0.34	0.85	0.79	0.16	0.71	0.36	0.57	1.38	0.59	0.58	0.4	0.68	
NM_000766	1.05	58.53	193.16	165.65	61.43	100.28	44.14	388.49	0.63	1.71	0.52	0.26	0.29	0.34	0.58	0.37	0.7	0.44	0.78	0.89	1.69	0.97	0.85	0.67	2.2	
NM_000770	1.6	423.2	707.06	549.81	839.96	683.19	12.29	167.81	0.57	1.09	0.52	0.21	0.92	0.95	1.05	0.19	0.55	0.2	0.31	0.26	0.32	1.44	0.72	0.66	0.79	
NM_001266	755.9	335.93	691.04	930.06	365.91	448.5	2867.36	837.48	0.33	0.91	1.71	0.2	1.26	1.75	1.76	1.49	1.48	2.47	0.31	0.8	9.41	0.3	0.28	6.63	2.88	
NM_001266	574.45	296.03	602.94	917.34	426.03	350.68	2093.13	891.58	0.32	0.5	2.07	0.44	1.78	1.41	1.87	1.1	1.09	3.67	1.6	0.67	0.94	1.39	0.55	0.33	0.69	
NM_001266	606.27	223.13	722.71	652.65	269.06	356.12	2103.03	1045.99	1.43	2.14	2.03	1.05	4.03	1.62	1.5	1.05	0.99	2.88	0.84	2.43	1.74	1.4	1.12	2.38	0.8	
NM_001737	959.21	697.04	1001.46	639.12	1473.01	847.12	188.98	574.08	0.58	0.53	2.69	0.33	0.38	0.35	1.1	0.19	0.17	0.72	0.32	0.42	0.93	0.62	0.78	1.16	0.38	
NM_000668	1425.17	974.9	3575.92	3251.96	1821.07	1948.6	1353.57	568.67	0.37	0.75	5.09	0.44	0.23	0.22	0.58	0.83	0.34	0.19	0.66	0.48	0.92	1.08	0.28	1.37	2.55	
NM_000668	1764.58	1050.53	3739.03	2647.46	1622.59	1747.49	1329.88	736.9	1.09	0.88	3.9	0.44	1.8	0.64	0.77	0.63	0.92	0.49	0.59	0.33	1.27	0.81	0.72	0.65	2.85	
