Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_021066	111.82	14.72	14.19	9.85	7.93	8.3	11.75	10.88	21.62	30.63	29.42	25.19	30.2	20.38	27.86	29.43	24.22	24.77	20.07	18.66	31.58	22.95	26.08	20.26	18.39	
NM_003517	297.82	15.69	14.1	18.99	13.36	12.85	9.04	14.9	28.29	41.26	50.08	35.85	25.84	18.62	61.95	51.32	28.8	38.21	15.26	11.3	29.47	18.84	24.2	22.72	14.29	
NM_003513	168.51	10.44	13.46	15.05	9.18	10.63	9.76	11.96	16.49	34.72	45.75	43.58	16.74	18.8	66.15	68.93	29.2	43.08	16.18	12.97	37.08	21.01	28.34	21.28	21.46	
NM_000177	49.95	46.0	10.1	5.69	11.77	9.45	18.32	14.64	42.39	30.07	11.76	9.81	54.45	45.34	35.11	51.7	85.56	66.02	5.01	10.59	7.28	11.22	8.83	8.93	6.7	
NM_005345	68.51	16.71	9.76	2.6	7.9	7.31	34.42	12.61	16.34	10.26	20.32	49.43	22.55	21.97	12.13	19.22	44.36	24.99	10.19	10.57	11.25	4.41	6.46	10.55	8.42	
NM_002026	2.72	2.8	94.79	6.55	3.84	18.05	57.9	19.35	0.68	8.24	32.09	20.4	4.05	37.2	28.35	35.85	19.51	44.41	27.44	2.34	0.98	4.67	8.54	27.34	22.19	
NM_004497	6.95	7.66	19.91	17.52	7.25	17.34	7.84	7.44	2.07	1.2	17.78	37.43	32.48	22.33	72.07	72.16	25.62	44.59	12.03	10.34	13.48	13.95	19.5	10.45	16.82	
NM_004952	3.33	0.5	3.95	1.68	3.28	2.9	3.38	2.79	6.97	6.66	40.95	64.32	6.34	8.02	80.27	94.85	12.4	71.83	5.67	4.58	4.59	9.49	21.23	10.48	12.88	
NM_000409	4.94	4.11	11.53	3.44	5.09	7.57	6.36	12.52	3.08	4.24	41.13	46.65	10.19	28.0	42.36	59.11	25.59	59.26	12.61	6.47	4.82	11.56	15.46	16.48	11.7	
NM_003765	4.12	3.32	6.22	7.26	7.44	6.46	5.46	8.92	10.33	8.65	44.35	53.13	5.37	14.65	66.34	122.18	18.23	102.62	8.92	11.12	7.69	11.16	18.31	10.6	12.43	
NM_015898	1.73	6.43	5.1	6.03	7.75	6.71	5.03	6.77	5.85	4.43	47.87	82.43	3.15	4.05	83.72	130.43	7.17	36.75	4.14	5.53	4.76	10.98	15.74	11.39	12.22	
NM_004140	4.19	2.73	7.97	6.88	7.39	6.89	7.79	4.75	6.71	5.56	76.47	57.27	13.74	4.64	52.97	39.43	7.18	13.6	7.79	6.16	12.89	10.68	9.15	11.87	12.58	
NM_001326	3.88	3.39	1.82	3.75	3.31	2.28	6.76	3.15	8.4	6.45	42.48	40.06	6.29	7.48	59.92	40.61	10.68	26.2	5.53	6.4	7.36	10.3	13.24	10.36	10.86	
NM_000735	1.59	1.25	1.52	1.29	0.87	0.88	2.45	0.77	0.72	1.3	2.52	2.94	1.32	0.2	1.88	2.2	0.39	0.69	6.68	41.14	51.8	150.8	958.11	51.1	73.32	
NM_001172	69.63	0.95	0.61	0.44	1.0	0.94	0.49	0.6	0.49	1.26	0.56	0.64	7.97	7.49	2.01	2.49	3.53	3.54	6.39	12.14	7.5	7.72	13.32	5.21	4.72	
