100 Under 50 rank	World University Rankings 2011-2012 position	Institution	Lat;long	Country	Year founded	Teaching	Research	Citations	Income from Industry	International mix	Overall score
28	226-250	University of Calgary	51.07856;-114.1333	Canada	1966	38.0	43.0	39.7	39.5	42.7	40.4
30	226-250	Simon Fraser University	49.27994;-122.92172	Canada	1965	22.0	41.1	53.0	37.6	56.8	40.0
50	276-300	University of Guelph	43.53050;-80.22618	Canada	1964	26.0	38.0	38.6	48.9	33.3	34.5
91	–	Concordia University	45.49714;-73.57858	Canada	1974	20.7	19.1	14.2	27.7	76.3	22.6
44	276-300	State University of Campinas	-22.81745;-47.06822	Brazil	1966	59.6	36.4	15.2	43.2	19.1	35.9
99	–	São Paulo State University	-23.547846;-46.640906	Brazil	1976	30.0	20.6	8.0	44.4	15.8	19.9
41	251-275	Johannes Kepler Universität Linz	48.33697;14.3179	Austria	1966	24.1	15.5	62.8	73.4	56.6	36.8
33	226-250	Macquarie University	-33.7741;151.1132	Australia	1964	25.1	29.9	46.5	42.3	93.0	38.5
33	251-275	University of Wollongong	-34.4070;150.8798	Australia	1975	26.9	32.2	43.5	40.4	88.7	38.5
40	276-300	Queensland University of Technology	-27.4768;153.0287	Australia	1989	25.7	37.5	35.5	62.5	76.7	37.0
45	276-300	University of Newcastle	54.98077;-1.6156	Australia	1965	22.2	36.8	35.8	64.8	76.3	35.8
48	301-350	Charles Darwin University	-25.2346;130.9829	Australia	1989	21.7	29.0	52.6	31.3	46.7	35.3
65	351-400	University of South Australia	-34.92347;138.59163	Australia	1991	26.8	25.6	19.4	87.7	81.8	29.9
75	351-400	Curtin University	-32.00318;115.89239	Australia	1987	19.7	14.8	28.7	31.3	91.4	26.6
78	351-400	Deakin University	-38.19757;144.29937	Australia	1974	21.7	22.8	26.2	27.9	56.3	26.1
78	351-400	Flinders University	-35.01738;138.57105	Australia	1966	21.9	26.8	20.3	36.2	59.9	26.1
81	351-400	Griffith University	QLD 4222	Australia	1971	19.4	21.6	20.3	30.7	79.0	25.1
81	351-400	La Trobe University	-37.72090;145.04882	Australia	1967	22.9	26.8	13.6	28.9	71.3	25.1
88	–	University of Technology;Sydney	-33.88318;151.20088	Australia	1988	20.9	16.8	18.7	28.5	77.2	23.4
93	–	RMIT University	-37.80819;144.96367	Australia	1992	21.4	15.5	12.3	31.6	87.4	22.1
100	–	Edith Cowan University	-31.75340;115.76982	Australia	1991	15.4	13.9	11.6	26.7	91.8	19.8
