ncbi-geneid:1	hsa:1
ncbi-geneid:10294	hsa:10294
ncbi-geneid:10295	hsa:10295
ncbi-geneid:10296	hsa:10296
ncbi-geneid:10297	hsa:10297
ncbi-geneid:10298	hsa:10298
ncbi-geneid:10299	hsa:10299
ncbi-geneid:103	hsa:103
ncbi-geneid:1030	hsa:1030
ncbi-geneid:10300	hsa:10300
ncbi-geneid:10302	hsa:10302
ncbi-geneid:10307	hsa:10307
ncbi-geneid:10308	hsa:10308
ncbi-geneid:10309	hsa:10309
ncbi-geneid:1031	hsa:1031
ncbi-geneid:10311	hsa:10311
ncbi-geneid:10312	hsa:10312
ncbi-geneid:10313	hsa:10313
ncbi-geneid:10314	hsa:10314
ncbi-geneid:10316	hsa:10316
ncbi-geneid:10317	hsa:10317
ncbi-geneid:10318	hsa:10318
ncbi-geneid:10319	hsa:10319
ncbi-geneid:1032	hsa:1032
ncbi-geneid:10320	hsa:10320
ncbi-geneid:10321	hsa:10321
ncbi-geneid:10322	hsa:10322
ncbi-geneid:10324	hsa:10324
ncbi-geneid:10325	hsa:10325
ncbi-geneid:10326	hsa:10326
ncbi-geneid:10327	hsa:10327
ncbi-geneid:10328	hsa:10328
ncbi-geneid:10329	hsa:10329
ncbi-geneid:1033	hsa:1033
ncbi-geneid:10330	hsa:10330
ncbi-geneid:10331	hsa:10331
ncbi-geneid:10332	hsa:10332
ncbi-geneid:10333	hsa:10333
ncbi-geneid:10335	hsa:10335
ncbi-geneid:10336	hsa:10336
ncbi-geneid:10342	hsa:10342
ncbi-geneid:10343	hsa:10343
ncbi-geneid:10344	hsa:10344
ncbi-geneid:10345	hsa:10345
ncbi-geneid:10346	hsa:10346
ncbi-geneid:10347	hsa:10347
ncbi-geneid:10349	hsa:10349
ncbi-geneid:10350	hsa:10350
ncbi-geneid:10351	hsa:10351
ncbi-geneid:10352	hsa:10352
ncbi-geneid:10357	hsa:10357
ncbi-geneid:1036	hsa:1036
ncbi-geneid:10360	hsa:10360
ncbi-geneid:10361	hsa:10361
ncbi-geneid:10362	hsa:10362
ncbi-geneid:10363	hsa:10363
ncbi-geneid:10365	hsa:10365
ncbi-geneid:10367	hsa:10367
ncbi-geneid:10368	hsa:10368
ncbi-geneid:10369	hsa:10369
ncbi-geneid:10370	hsa:10370
ncbi-geneid:10371	hsa:10371
ncbi-geneid:10376	hsa:10376
ncbi-geneid:10379	hsa:10379
ncbi-geneid:1038	hsa:1038
ncbi-geneid:10380	hsa:10380
ncbi-geneid:10381	hsa:10381
ncbi-geneid:10382	hsa:10382
ncbi-geneid:10383	hsa:10383
ncbi-geneid:10384	hsa:10384
ncbi-geneid:10385	hsa:10385
ncbi-geneid:10388	hsa:10388
ncbi-geneid:10389	hsa:10389
ncbi-geneid:1039	hsa:1039
ncbi-geneid:10390	hsa:10390
ncbi-geneid:10391	hsa:10391
ncbi-geneid:103910	hsa:103910
ncbi-geneid:10392	hsa:10392
ncbi-geneid:10393	hsa:10393
ncbi-geneid:10394	hsa:10394
ncbi-geneid:10395	hsa:10395
ncbi-geneid:10396	hsa:10396
ncbi-geneid:10397	hsa:10397
ncbi-geneid:10398	hsa:10398
ncbi-geneid:10399	hsa:10399
ncbi-geneid:104	hsa:104
ncbi-geneid:1040	hsa:1040
ncbi-geneid:10400	hsa:10400
ncbi-geneid:10401	hsa:10401
ncbi-geneid:10402	hsa:10402
ncbi-geneid:10403	hsa:10403
ncbi-geneid:10404	hsa:10404
ncbi-geneid:10406	hsa:10406
ncbi-geneid:10407	hsa:10407
ncbi-geneid:10409	hsa:10409
ncbi-geneid:1041	hsa:1041
ncbi-geneid:10410	hsa:10410
ncbi-geneid:10411	hsa:10411
ncbi-geneid:10412	hsa:10412
ncbi-geneid:10413	hsa:10413
ncbi-geneid:10417	hsa:10417
ncbi-geneid:10418	hsa:10418
ncbi-geneid:10419	hsa:10419
ncbi-geneid:10420	hsa:10420
ncbi-geneid:10421	hsa:10421
ncbi-geneid:10422	hsa:10422
ncbi-geneid:10423	hsa:10423
ncbi-geneid:10424	hsa:10424
ncbi-geneid:10425	hsa:10425
ncbi-geneid:10426	hsa:10426
ncbi-geneid:10427	hsa:10427
ncbi-geneid:10428	hsa:10428
ncbi-geneid:1043	hsa:1043
ncbi-geneid:10430	hsa:10430
ncbi-geneid:10431	hsa:10431
ncbi-geneid:10432	hsa:10432
ncbi-geneid:10434	hsa:10434
ncbi-geneid:10435	hsa:10435
ncbi-geneid:10436	hsa:10436
ncbi-geneid:10437	hsa:10437
ncbi-geneid:10438	hsa:10438
ncbi-geneid:10439	hsa:10439
ncbi-geneid:1044	hsa:1044
ncbi-geneid:10440	hsa:10440
ncbi-geneid:10443	hsa:10443
ncbi-geneid:10444	hsa:10444
ncbi-geneid:10445	hsa:10445
ncbi-geneid:10446	hsa:10446
ncbi-geneid:10447	hsa:10447
ncbi-geneid:10449	hsa:10449
ncbi-geneid:1045	hsa:1045
ncbi-geneid:10450	hsa:10450
ncbi-geneid:10451	hsa:10451
ncbi-geneid:10452	hsa:10452
ncbi-geneid:10454	hsa:10454
ncbi-geneid:10455	hsa:10455
ncbi-geneid:10456	hsa:10456
ncbi-geneid:10457	hsa:10457
ncbi-geneid:10458	hsa:10458
ncbi-geneid:10459	hsa:10459
ncbi-geneid:1046	hsa:1046
ncbi-geneid:10460	hsa:10460
ncbi-geneid:10461	hsa:10461
ncbi-geneid:10462	hsa:10462
ncbi-geneid:10463	hsa:10463
ncbi-geneid:10464	hsa:10464
ncbi-geneid:10465	hsa:10465
ncbi-geneid:10466	hsa:10466
ncbi-geneid:10467	hsa:10467
ncbi-geneid:10468	hsa:10468
ncbi-geneid:10469	hsa:10469
ncbi-geneid:1047	hsa:1047
ncbi-geneid:10471	hsa:10471
ncbi-geneid:10472	hsa:10472
ncbi-geneid:10473	hsa:10473
ncbi-geneid:10474	hsa:10474
ncbi-geneid:10475	hsa:10475
ncbi-geneid:10476	hsa:10476
ncbi-geneid:10477	hsa:10477
ncbi-geneid:10478	hsa:10478
ncbi-geneid:10479	hsa:10479
ncbi-geneid:1048	hsa:1048
ncbi-geneid:10480	hsa:10480
ncbi-geneid:10481	hsa:10481
ncbi-geneid:10482	hsa:10482
ncbi-geneid:10483	hsa:10483
ncbi-geneid:10484	hsa:10484
ncbi-geneid:10485	hsa:10485
ncbi-geneid:10486	hsa:10486
ncbi-geneid:10487	hsa:10487
ncbi-geneid:10488	hsa:10488
ncbi-geneid:10489	hsa:10489
ncbi-geneid:10490	hsa:10490
ncbi-geneid:10491	hsa:10491
ncbi-geneid:10492	hsa:10492
ncbi-geneid:10493	hsa:10493
ncbi-geneid:10494	hsa:10494
ncbi-geneid:10495	hsa:10495
ncbi-geneid:10497	hsa:10497
ncbi-geneid:10498	hsa:10498
ncbi-geneid:10499	hsa:10499
ncbi-geneid:105	hsa:105
ncbi-geneid:1050	hsa:1050
ncbi-geneid:10500	hsa:10500
ncbi-geneid:10501	hsa:10501
ncbi-geneid:10505	hsa:10505
ncbi-geneid:10507	hsa:10507
ncbi-geneid:10509	hsa:10509
ncbi-geneid:1051	hsa:1051
ncbi-geneid:10512	hsa:10512
ncbi-geneid:10513	hsa:10513
ncbi-geneid:10514	hsa:10514
ncbi-geneid:10516	hsa:10516
ncbi-geneid:10517	hsa:10517
ncbi-geneid:10518	hsa:10518
ncbi-geneid:10519	hsa:10519
ncbi-geneid:1052	hsa:1052
ncbi-geneid:10520	hsa:10520
ncbi-geneid:10521	hsa:10521
ncbi-geneid:10522	hsa:10522
ncbi-geneid:10523	hsa:10523
ncbi-geneid:10524	hsa:10524
ncbi-geneid:10525	hsa:10525
ncbi-geneid:10526	hsa:10526
ncbi-geneid:10527	hsa:10527
ncbi-geneid:10528	hsa:10528
ncbi-geneid:10529	hsa:10529
ncbi-geneid:1053	hsa:1053
ncbi-geneid:10531	hsa:10531
ncbi-geneid:10533	hsa:10533
ncbi-geneid:10534	hsa:10534
ncbi-geneid:10535	hsa:10535
ncbi-geneid:10536	hsa:10536
ncbi-geneid:10537	hsa:10537
ncbi-geneid:10538	hsa:10538
ncbi-geneid:10539	hsa:10539
ncbi-geneid:1054	hsa:1054
ncbi-geneid:10540	hsa:10540
ncbi-geneid:10541	hsa:10541
ncbi-geneid:10542	hsa:10542
ncbi-geneid:10544	hsa:10544
ncbi-geneid:10548	hsa:10548
ncbi-geneid:10549	hsa:10549
ncbi-geneid:10550	hsa:10550
ncbi-geneid:10551	hsa:10551
ncbi-geneid:10552	hsa:10552
ncbi-geneid:10553	hsa:10553
ncbi-geneid:10554	hsa:10554
ncbi-geneid:10555	hsa:10555
ncbi-geneid:10556	hsa:10556
ncbi-geneid:10557	hsa:10557
ncbi-geneid:10558	hsa:10558
ncbi-geneid:10559	hsa:10559
ncbi-geneid:1056	hsa:1056
ncbi-geneid:10560	hsa:10560
ncbi-geneid:10561	hsa:10561
ncbi-geneid:10562	hsa:10562
ncbi-geneid:10563	hsa:10563
ncbi-geneid:10564	hsa:10564
ncbi-geneid:10565	hsa:10565
ncbi-geneid:10566	hsa:10566
ncbi-geneid:10567	hsa:10567
ncbi-geneid:10568	hsa:10568
ncbi-geneid:10569	hsa:10569
ncbi-geneid:10570	hsa:10570
ncbi-geneid:10572	hsa:10572
ncbi-geneid:10573	hsa:10573
ncbi-geneid:10574	hsa:10574
ncbi-geneid:10575	hsa:10575
ncbi-geneid:10576	hsa:10576
ncbi-geneid:10577	hsa:10577
ncbi-geneid:10578	hsa:10578
ncbi-geneid:10579	hsa:10579
ncbi-geneid:1058	hsa:1058
ncbi-geneid:10580	hsa:10580
ncbi-geneid:10581	hsa:10581
ncbi-geneid:10584	hsa:10584
ncbi-geneid:10585	hsa:10585
ncbi-geneid:10586	hsa:10586
ncbi-geneid:10587	hsa:10587
ncbi-geneid:10588	hsa:10588
ncbi-geneid:10589	hsa:10589
ncbi-geneid:1059	hsa:1059
ncbi-geneid:10590	hsa:10590
ncbi-geneid:10591	hsa:10591
ncbi-geneid:10592	hsa:10592
ncbi-geneid:10594	hsa:10594
ncbi-geneid:10595	hsa:10595
ncbi-geneid:10598	hsa:10598
ncbi-geneid:10599	hsa:10599
ncbi-geneid:1060	hsa:1060
ncbi-geneid:10600	hsa:10600
ncbi-geneid:10602	hsa:10602
ncbi-geneid:10603	hsa:10603
ncbi-geneid:10605	hsa:10605
ncbi-geneid:10606	hsa:10606
ncbi-geneid:10607	hsa:10607
ncbi-geneid:10608	hsa:10608
ncbi-geneid:10609	hsa:10609
ncbi-geneid:10610	hsa:10610
ncbi-geneid:10611	hsa:10611
ncbi-geneid:10612	hsa:10612
ncbi-geneid:10613	hsa:10613
ncbi-geneid:10614	hsa:10614
ncbi-geneid:10615	hsa:10615
ncbi-geneid:10616	hsa:10616
ncbi-geneid:10617	hsa:10617
ncbi-geneid:10618	hsa:10618
ncbi-geneid:1062	hsa:1062
ncbi-geneid:10620	hsa:10620
ncbi-geneid:10621	hsa:10621
ncbi-geneid:10622	hsa:10622
ncbi-geneid:10623	hsa:10623
ncbi-geneid:10625	hsa:10625
ncbi-geneid:10626	hsa:10626
ncbi-geneid:10627	hsa:10627
ncbi-geneid:10628	hsa:10628
ncbi-geneid:10629	hsa:10629
ncbi-geneid:1063	hsa:1063
ncbi-geneid:10630	hsa:10630
ncbi-geneid:10631	hsa:10631
ncbi-geneid:10632	hsa:10632
ncbi-geneid:10633	hsa:10633
ncbi-geneid:10634	hsa:10634
ncbi-geneid:10635	hsa:10635
ncbi-geneid:10636	hsa:10636
ncbi-geneid:10637	hsa:10637
ncbi-geneid:10638	hsa:10638
ncbi-geneid:10640	hsa:10640
ncbi-geneid:10641	hsa:10641
ncbi-geneid:10642	hsa:10642
ncbi-geneid:10643	hsa:10643
ncbi-geneid:10644	hsa:10644
ncbi-geneid:10645	hsa:10645
ncbi-geneid:10647	hsa:10647
ncbi-geneid:10648	hsa:10648
ncbi-geneid:10650	hsa:10650
ncbi-geneid:10651	hsa:10651
ncbi-geneid:10652	hsa:10652
ncbi-geneid:10653	hsa:10653
ncbi-geneid:10654	hsa:10654
ncbi-geneid:10655	hsa:10655
ncbi-geneid:10656	hsa:10656
ncbi-geneid:10657	hsa:10657
ncbi-geneid:10658	hsa:10658
ncbi-geneid:10659	hsa:10659
ncbi-geneid:1066	hsa:1066
ncbi-geneid:10660	hsa:10660
ncbi-geneid:10661	hsa:10661
ncbi-geneid:10663	hsa:10663
ncbi-geneid:10664	hsa:10664
ncbi-geneid:10665	hsa:10665
ncbi-geneid:10666	hsa:10666
ncbi-geneid:10667	hsa:10667
ncbi-geneid:10668	hsa:10668
ncbi-geneid:10669	hsa:10669
ncbi-geneid:10670	hsa:10670
ncbi-geneid:10671	hsa:10671
ncbi-geneid:10672	hsa:10672
ncbi-geneid:10673	hsa:10673
ncbi-geneid:10675	hsa:10675
ncbi-geneid:10677	hsa:10677
ncbi-geneid:10678	hsa:10678
ncbi-geneid:1068	hsa:1068
ncbi-geneid:10681	hsa:10681
ncbi-geneid:10682	hsa:10682
ncbi-geneid:10683	hsa:10683
ncbi-geneid:10686	hsa:10686
ncbi-geneid:10687	hsa:10687
ncbi-geneid:1069	hsa:1069
ncbi-geneid:10690	hsa:10690
ncbi-geneid:10691	hsa:10691
ncbi-geneid:10692	hsa:10692
ncbi-geneid:10693	hsa:10693
ncbi-geneid:10694	hsa:10694
ncbi-geneid:10695	hsa:10695
ncbi-geneid:10699	hsa:10699
ncbi-geneid:107	hsa:107
ncbi-geneid:1070	hsa:1070
ncbi-geneid:1071	hsa:1071
ncbi-geneid:10712	hsa:10712
ncbi-geneid:10713	hsa:10713
ncbi-geneid:10714	hsa:10714
ncbi-geneid:10715	hsa:10715
ncbi-geneid:10716	hsa:10716
ncbi-geneid:10717	hsa:10717
ncbi-geneid:10718	hsa:10718
ncbi-geneid:1072	hsa:1072
ncbi-geneid:10720	hsa:10720
ncbi-geneid:10721	hsa:10721
ncbi-geneid:10723	hsa:10723
ncbi-geneid:10724	hsa:10724
ncbi-geneid:10725	hsa:10725
ncbi-geneid:10726	hsa:10726
ncbi-geneid:10728	hsa:10728
ncbi-geneid:1073	hsa:1073
ncbi-geneid:10730	hsa:10730
ncbi-geneid:10732	hsa:10732
ncbi-geneid:10733	hsa:10733
ncbi-geneid:10734	hsa:10734
ncbi-geneid:10735	hsa:10735
ncbi-geneid:10736	hsa:10736
ncbi-geneid:10738	hsa:10738
ncbi-geneid:10739	hsa:10739
ncbi-geneid:10741	hsa:10741
ncbi-geneid:10742	hsa:10742
ncbi-geneid:10743	hsa:10743
ncbi-geneid:10744	hsa:10744
ncbi-geneid:10745	hsa:10745
ncbi-geneid:10746	hsa:10746
ncbi-geneid:10747	hsa:10747
ncbi-geneid:10748	hsa:10748
ncbi-geneid:10749	hsa:10749
ncbi-geneid:1075	hsa:1075
ncbi-geneid:10750	hsa:10750
ncbi-geneid:10752	hsa:10752
ncbi-geneid:10753	hsa:10753
ncbi-geneid:10755	hsa:10755
ncbi-geneid:10758	hsa:10758
ncbi-geneid:10761	hsa:10761
ncbi-geneid:10762	hsa:10762
ncbi-geneid:10763	hsa:10763
ncbi-geneid:10765	hsa:10765
ncbi-geneid:10766	hsa:10766
ncbi-geneid:10767	hsa:10767
ncbi-geneid:10768	hsa:10768
ncbi-geneid:10769	hsa:10769
ncbi-geneid:10771	hsa:10771
ncbi-geneid:10772	hsa:10772
ncbi-geneid:10773	hsa:10773
ncbi-geneid:10775	hsa:10775
ncbi-geneid:10776	hsa:10776
ncbi-geneid:10777	hsa:10777
ncbi-geneid:10778	hsa:10778
ncbi-geneid:10780	hsa:10780
ncbi-geneid:10781	hsa:10781
ncbi-geneid:10782	hsa:10782
ncbi-geneid:10783	hsa:10783
ncbi-geneid:10785	hsa:10785
ncbi-geneid:10786	hsa:10786
ncbi-geneid:10787	hsa:10787
ncbi-geneid:10788	hsa:10788
ncbi-geneid:10791	hsa:10791
ncbi-geneid:10793	hsa:10793
ncbi-geneid:10794	hsa:10794
ncbi-geneid:10795	hsa:10795
ncbi-geneid:10797	hsa:10797
ncbi-geneid:10798	hsa:10798
ncbi-geneid:10799	hsa:10799
ncbi-geneid:108	hsa:108
ncbi-geneid:1080	hsa:1080
ncbi-geneid:10800	hsa:10800
ncbi-geneid:10801	hsa:10801
ncbi-geneid:10802	hsa:10802
ncbi-geneid:10803	hsa:10803
ncbi-geneid:10804	hsa:10804
ncbi-geneid:10806	hsa:10806
ncbi-geneid:10807	hsa:10807
ncbi-geneid:10808	hsa:10808
ncbi-geneid:10809	hsa:10809
ncbi-geneid:1081	hsa:1081
ncbi-geneid:10810	hsa:10810
ncbi-geneid:10811	hsa:10811
ncbi-geneid:10813	hsa:10813
ncbi-geneid:10814	hsa:10814
ncbi-geneid:10815	hsa:10815
ncbi-geneid:10817	hsa:10817
ncbi-geneid:10818	hsa:10818
ncbi-geneid:1082	hsa:1082
ncbi-geneid:10825	hsa:10825
ncbi-geneid:10826	hsa:10826
ncbi-geneid:10827	hsa:10827
ncbi-geneid:10838	hsa:10838
ncbi-geneid:1084	hsa:1084
ncbi-geneid:10840	hsa:10840
ncbi-geneid:10841	hsa:10841
ncbi-geneid:10842	hsa:10842
