ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
206	D	München-Sendling	Offenb. Grab	Regensburg A 803a		Scheibennadel, verz., ruderförm. Kopfplatte
207	D	München-Sendling	Offenb. Grab	Regensburg A 803b		Scheibennadel, verz., runde Kopfplatte
208	D	München-Sendling	Offenb. Grab	Regensburg A 803c		Halbmondförmige Zierscheibe
209	D	München, 'Valleyplatz'	Grab	München, Stslg. 1919/67		Dolchklinge m. eingez. Griffplatte
210	D	München, 'Wolfratshauser Str.'	Wolfratshauser Str., Grab	München, Stslg. 1906/580 u. 641	GBK	Griffzungendolch
211	D	München, 'Wolfratshauser Str.'	Wolfratshauser Str., Grab	München, Stslg. 1906/641	GBK	Griffzungendolch
212	D	Nähermemmingen, Donau-Ries Kreis	Grab 4/6	Nördlingen 3018		Blechröhrchen
213	D	Nähermemmingen, Donau-Ries Kreis	Grab 5/2	Nördlingen		Spiralröllchen
214	D	Nähermemmingen, Donau-Ries Kreis	Grab 22	Nördlingen 5039		Armspirale, aus Ösenring gebogen
215	D	Nähermemmingen, Donau-Ries Kreis	Grab 16/2	Nördlingen 5028a		Armspirale, 2 Windungen, kl.
216	D	Nähermemmingen, Donau-Ries Kreis	Grab 22	Nördlingen 5038		Dolch, 3 Niete, verz.
217	D	Neukirchen	Depot	München, Stslg.		Ösenringbarren
218	D	Neukirchen	Depot	München, Stslg.		Ösenringbarren
219	D	Neukirchen	Depot	München, Stslg.		Ösenringbarren
220	D	Neukirchen	Depot	München, Stslg.		Ösenringbarren
221	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	München, Stslg. 1926.161		Zungenbarren
222	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	München, Stslg. 1926.161		Zungenbarren
223	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	München, Stslg. 1926.161		Zungenbarren
224	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	München, Stslg. 1926.161		Zungenbarren
225	D	Nieder-Ramstadt, Kr.Darmstadt	Einzf., Siedlung?	Niederramstadt, Slg.Politsch		Flachbeil, dicknackig, Form Nieder-Ramstadt (F7a)
226	D	Niederscheyern, Kr.Pfaffenhofen	Depot	München, Stslg. H.V. 50-69		Spangenbarren
227	D	Niederscheyern, Kr.Pfaffenhofen	Depot	München, Stslg. H.V. 50-69		Spangenbarren
228	D	Niederscheyern, Kr.Pfaffenhofen	Depot	München, Stslg. H.V. 50-69		Spangenbarren
