ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
544	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
545	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
546	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
547	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
548	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
549	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
550	I	Abini, Sardinien	Depot	Cagliari		Pfeilspitze mit Stiel
551	I	Abini, Sardinien	Depot	Cagliari		Pfeilspitze mit Stiel
552	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
553	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
554	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
555	I	Abini, Sardinien	Depot	Cagliari		Gußkuchen
556	I	Anghelu Ruju, Sardinien	Depot	Cagliari	SKK	Griffzungendolch
557	I	Anghelu Ruju, Sardinien	FelskammerGrab 1	Cagliari	SKK	Pfriem
558	I	Anghelu Ruju, Sardinien	FelskammerGrab 1	Cagliari		Pfriem
559	I	Anghelu Ruju, Sardinien	FelskammerGrab 1	Cagliari		Pfriem
560	I	Anghelu Ruju, Sardinien	FelskammerGrab 13	Cagliari		Pfriem
561	I	Anghelu Ruju, Sardinien	FelskammerGrab 13	Cagliari		Ring mit Spitzenden
562	I	Anghelu Ruju, Sardinien	FelskammerGrab 18	Cagliari	SKK	Pfriem mit rhombischer Mittelschwellung
563	I	Anghelu Ruju, Sardinien	FelskammerGrab 20	Cagliari	SKK	Pfriem
564	I	Anghelu Ruju, Sardinien	FelskammerGrab 20	Cagliari		Flachbeil
565	I	Anghelu Ruju, Sardinien	FelskammerGrab 30	Cagliari	SKK	Griffzungendolch
566	I	Acqua Prateri, Prov.Pisa	FelskammerGrab 30	Florenz		Dolch mit beidseitiger Mittelrippe
567	I	Acqua Prateri, Prov.Pisa	Grab	Florenz		Flachbeil, Ansatz zu Randleisten
568	I	Acqua Prateri, Prov.Pisa	Grab	Florenz		Dolch
569	I	Acqua Prateri, Prov.Pisa	Grab	Florenz		Flachbeil
570	I	Arezzo, Prov.	Grab	Arezzo 10891		Dolch mit verstärkter Mittelpartie
571	I	Arezzo, Prov.	?	Arezzo 10892		Dolch mit erhabener Mittelpartie
572	I	Arezzo, Prov.	?	Arezzo		Flachbeil, Ansatz zu Randleisten
573	I	Battifolle, Prov. Arezzo	?	Arezzo 961		Dolch m. verstärkter Mittelp. 4-5 Nietl.
574	I	Bibbona, Prov. Livorno	Grab	Florenz		Flachbeil
575	I	Bor di Pacengo, Prov.Verona	Einzf.	Verona		Randleistenbeil
576	I	Borgo Panigale, Prov. Bologna	Pfahlbau am Gardasee	Bologna		Flachbeil, durch Hämmern hergestellte Randleisten
577	I	Borgo Rivola, Prov.Ravenna	Einzf.	Bologna		Dolch m. kurz. Griffz. u. beids. Mittelrippe
578	I	Borgo Rivola, Prov.Ravenna	Grab?	Bologna		Dolch m. kurz. Griffz. u. eins. Mittelrippe
579	I	Borgo Rivola, Prov.Ravenna	Grab?	Bologna		Flachbeil
580	I	Brolio, Prov.Arezzo	Grab?	Florenz 4904		Dolch m. 4 Nietl. u. erhabener Mittelpartie
581	I	Bussolengo, Prov. Verona	F.O.?	Verona		Dolch m. erhabener Mittelpartie u. 1 Nietl
582	I	Castelluccio la Foce, Prov. Siena	Näheres unbekannt	Siena		Randleistenbeil
583	I	Castelluccio la Foce, Prov. Siena	Zusammengehörig mit SAMNR 583, 584	Siena		Stabdolchklinge m. beids. Mittelr. u. 3 Nietl
584	I	Castelluccio la Foce, Prov. Siena	Zusammengehörig mit SAMNR 582, 584	Siena		Randleistenbeil
585	I	Castiglione/Lago, Prov.Perugia	Zusammengeh.m.SAMNR 582, 583=Castelluccio la Foce	Arezzo 956		Dolch mit 3 Nietlöchern
586	I	Castiglione/Lago, Prov.Perugia	Grab	Arezzo 957		Dolch mit 3 Nietlöchern
587	I	Cattaragna, Prov. Brescia	Grab	Verona		Ösenringbarren
588	I	Cavriana, Prov. Mantua	Torbiera Bresciano. "Pfahlbau"	Verona		Dolch mit 1 erhaltenen Nietloch
589	I	Cavriana, Prov. Mantua	Torbiera. "Pfahlbau"-Funde	Verona		Dolch m. 5 Nietl. u. beids. Mittelrippe
590	I	Cecina, Prov.Livorno od.Pistoia	Torbiera. "Pfahlbau"-Funde	Florenz		Flachbeil, Ansatz zu Randleisten
591	I	Colombare di Negrar, Prov. Verona	1804 zusammen m. einem Silexdolch geschenkt	Verona		Flachbeil
592	I	Cortona, Prov. Arezzo	F.O.?	Arezzo 10893		Dolch mit 2 Nietlöchern
593	I	Dozza, Prov. Bologna	F.O.?	Bologna		Dolch, 5 Nietl. beids. verd. Mittelpartie
594	I	Prov.Firenze	Vollbronzezeitliche Siedl.	Florenz 1071		Flachbeil, Ansatz z Randleisten
596	I	Florenz, Prov. oder Pistoia, Prov.	Einzf.	Florenz 1030		Flachbeil, einseitig Ansatz zu Randleisten
597	I	Florenz, Prov. oder Pistoia, Prov.	Einzf.	Florenz 1069		Randleistenbeil
598	I	Florenz, Prov. oder Pistoia, Prov.	Einzf.	Florenz 1028		Randleistenbeil
599	I	Florenz, Prov. oder Pistoia, Prov.	Einzf.	Florenz		Flachbeil, einseitig Randleisten
600	I	Florenz, Prov. oder Pistoia, Prov.	Einzf.	Florenz		Flachbeil, Ansatz zu Randleisten
601	I	Foiano, Prov.Arezzo	Einzf.	Arezzo		Dolch m. beids. geschwollener Mittelpartie
602	I	Fucecchio, Prov.Florenz	F.O.?	Florenz		Flachbeil, Ansatz zu Randleisten
603	I	Garfagnana, Prov.Florenz	Einzf. 1919	Florenz		Flachbeil
604	I	Garfagnana, Prov.Florenz	F.O.?	Florenz		Flachbeil
605	I	Germagnignano, Prov. Florenz (?)	F.O.?	Florenz 84336		Dolch mit 1-3 Nietlöchern
606	I	Grosseto, Prov.Grosseto	Wahrscheinlich Grab	Florenz		Flachbeil, Ansatz zu Randleisten
607	I	Livorno, Prov.	Siedl.? Zusammen m. Lagozza-Keramik	Florenz		Stabdolch m. beidseitiger Mittelrippe
608	I	Manciano, Prov. Grosseto	Einzf.	Florenz 87277		Flachbeil
609	I	Massa Marittima, Prov.Grosseto	F.O.?	Florenz		Dolch mit 3 Nietlöchern
610	I	Massa Marittima, Prov.Grosseto	Grab	Florenz		Dolch mit 2 Nietlöchern
611	I	Massa Marittima, Prov.Grosseto	Grab	Florenz		Dolch m. 2 großen Nietlöchern
612	I	Massa Marittima, Prov.Grosseto	Grab	Florenz		Stabdolch mit 2 Nietlöchern
613	I	Massa Marittima, Prov.Grosseto	Grab	Florenz		Dolch mit 3 Nietlöchern
614	I	Monte Maggio, Prov. Siena	Grab	Siena		Randleistenbeil
615	I	Monte Maggio, Prov. Siena	F.O.?	Siena		Randleistenbeil
616	I	Monte Merano, Prov.Grosseto	F.O.?	Florenz		Stabdolch m. 3 beids. Mittelrippen 75365 T.
617	I	Monte Merano, Prov.Grosseto	Depot	Florenz		Stabdolch mit 2 großen Hutnieten
618	I	Montespértoli, Prov. Florenz	Depot	Florenz		Flachbeil, Ansatz zu Randleisten
619	I	Montespértoli, Prov. Florenz	Grab	Florenz		Dolch m. 3-5 Nietl. u. beids. Mittelrippe
620	I	Montespértoli, Prov. Florenz	Grab	Florenz		Dolchfragment m. 5 Nietl. u. Mittelgrat
621	I	Pallazzone, Prov.Siena	Grab	Siena		Flachbeil
622	I	Pavia, Prov.	F.O.?	Pavia 1636		Dolch m. 2 seitl. Kerben u. beids. Mittelgr.
623	I	Peschiera, Prov. Verona	Einzf.	Verona		Dreiringnadel
624	I	Peschiera, Prov. Verona	Pfahlbau	Verona		Kugelkopfnadel
625	I	Peschiera, Prov. Verona	Pfahlbau	Verona		Nadel m. horizontal durchb. Kugelkopf
626	I	Peschiera, Prov. Verona	Pfahlbau	Verona		Dreiringnadel
627	I	Pienza, Prov.Siena	Pfahlbau	Siena		Flachbeil
628	I	Pienza, Prov.Siena	Siedl.? Im Gebiet des "Ospedaletto"	Siena		Flachbeil
629	I	Pienza, Prov.Siena	Siedl.? Im Gebiet des "Ospedaletto"	Siena		Flachbeil, Ansatz zu Randleisten
630	I	Pienza, Prov.Siena	Siedl.? Im Gebiet des "Ospedaletto"	Siena		Dolch mit 3 Nietlöchern
631	I	Pienza, Prov.Siena	Siedl.? Im Gebiet des "Ospedaletto"	Siena		Dolch m. 2 Kerben a. Heft u. schw. Mittelgr.
632	I	Poggio Aquilone, Prov. Perugia	Siedl.? Im Gebiet des "Ospedaletto"	Bologna		Stabdolch m. 2 Reihen/3 Nietl. u. beids. Mittelr.
633	I	Poggio Aquilone, Prov. Perugia	Grab	Bologna		Flachbeil
634	I	Pomarance?, Prov.Pisa	Grab	Florenz		Flachbeil, Ansatz zu Randleisten
635	I	Portalbere, Prov.Pavia	Siedl.	Pavia 1645		Flachbeil
636	I	Quercieto, Prov.Siena	F.O.?	Siena		Dolch m. 2 Nietlöchern u. Mittelgrat
637	I	Quinzano Doglio, Prov.Brescia	3 Steinbeilchen u.2 Silexspitzen Typ Remedello	Verona		Flachbeil
