ncbi-gi:10432371	hsa:960
ncbi-gi:10432372	hsa:960
ncbi-gi:10432373	hsa:960
ncbi-gi:10432374	hsa:960
ncbi-gi:10432414	hsa:26610
ncbi-gi:10432429	hsa:23162
ncbi-gi:10432435	hsa:3127
ncbi-gi:10432438	hsa:5786
ncbi-gi:10432439	hsa:5786
ncbi-gi:10432440	hsa:2797
ncbi-gi:10432442	hsa:7022
ncbi-gi:10432572	hsa:9491
ncbi-gi:10440558	hsa:5988
ncbi-gi:10440560	hsa:8968
ncbi-gi:10440566	hsa:11178
ncbi-gi:10441263	hsa:4821
ncbi-gi:10441577	hsa:134864
ncbi-gi:10441619	hsa:2494
ncbi-gi:10441620	hsa:2494
ncbi-gi:10441641	hsa:3106
ncbi-gi:10441774	hsa:631
ncbi-gi:10442008	hsa:57105
ncbi-gi:10442720	hsa:3123
ncbi-gi:10442997	hsa:2103
ncbi-gi:10443000	hsa:145508
ncbi-gi:10443046	hsa:63935
ncbi-gi:10443047	hsa:63925
ncbi-gi:10443048	hsa:4318
ncbi-gi:10443226	hsa:3106
ncbi-gi:10443230	hsa:140711
ncbi-gi:10443244	hsa:51100
ncbi-gi:10443245	hsa:51100
ncbi-gi:10443246	hsa:3929
ncbi-gi:10443247	hsa:2940
ncbi-gi:10443473	hsa:7180
ncbi-gi:10443498	hsa:9627
ncbi-gi:10443631	hsa:4722
ncbi-gi:10443718	hsa:8443
ncbi-gi:10443888	hsa:6504
ncbi-gi:10443902	hsa:26136
ncbi-gi:10443903	hsa:26136
ncbi-gi:10444345	hsa:83401
ncbi-gi:10445223	hsa:6173
ncbi-gi:10445330	hsa:3594
ncbi-gi:104485446	hsa:129685
ncbi-gi:104487002	hsa:5789
ncbi-gi:104487006	hsa:5802
ncbi-gi:104526627	hsa:10345
ncbi-gi:1045452	hsa:3596
ncbi-gi:1045469	hsa:5696
ncbi-gi:1045471	hsa:5696
ncbi-gi:1045473	hsa:3109
ncbi-gi:1045512	hsa:3125
ncbi-gi:1045514	hsa:3126
ncbi-gi:1046219	hsa:84939
ncbi-gi:104745250	hsa:3106
ncbi-gi:104745307	hsa:3123
ncbi-gi:104745413	hsa:3127
ncbi-gi:104876423	hsa:9951
ncbi-gi:1050249	hsa:7306
ncbi-gi:1050251	hsa:1638
ncbi-gi:10503931	hsa:361
ncbi-gi:1051291	hsa:54577
ncbi-gi:10518338	hsa:1420
ncbi-gi:10518344	hsa:5911
ncbi-gi:1052862	hsa:5077
ncbi-gi:105295314	hsa:6006
ncbi-gi:105295516	hsa:3105
ncbi-gi:1054737	hsa:2204
ncbi-gi:1054739	hsa:3115
ncbi-gi:1054741	hsa:3108
ncbi-gi:1054742	hsa:3109
ncbi-gi:1054744	hsa:5698
ncbi-gi:1054745	hsa:6890
ncbi-gi:1054746	hsa:5696
ncbi-gi:1054747	hsa:5696
ncbi-gi:1054748	hsa:6891
ncbi-gi:1054749	hsa:3112
ncbi-gi:1054750	hsa:3120
ncbi-gi:1054778	hsa:6900
ncbi-gi:1054875	hsa:84823
ncbi-gi:105553088	hsa:6953
ncbi-gi:105554421	hsa:284612
ncbi-gi:105554437	hsa:27023
ncbi-gi:105554465	hsa:653140
ncbi-gi:10566469	hsa:4211
ncbi-gi:10567307	hsa:3126
ncbi-gi:10567816	hsa:2775
ncbi-gi:10567818	hsa:4104
ncbi-gi:10567824	hsa:57830
ncbi-gi:105989314	hsa:116085
ncbi-gi:105989318	hsa:116085
ncbi-gi:105989320	hsa:116085
ncbi-gi:105989323	hsa:116085
ncbi-gi:105990514	hsa:2317
ncbi-gi:105990526	hsa:23462
ncbi-gi:105990532	hsa:338
ncbi-gi:105990535	hsa:2153
ncbi-gi:105990537	hsa:5158
ncbi-gi:105990539	hsa:4747
ncbi-gi:105990541	hsa:24
ncbi-gi:106049295	hsa:5091
ncbi-gi:106067657	hsa:3973
ncbi-gi:1061126	hsa:2827
ncbi-gi:1061144	hsa:5347
ncbi-gi:1061332	hsa:3115
ncbi-gi:1061424	hsa:5387
ncbi-gi:10635153	hsa:6714
ncbi-gi:10635353	hsa:3354
ncbi-gi:10635691	hsa:140823
ncbi-gi:10635692	hsa:9584
ncbi-gi:10635693	hsa:9584
ncbi-gi:1063610	hsa:4837
ncbi-gi:1063630	hsa:5540
ncbi-gi:10636484	hsa:64207
ncbi-gi:10636565	hsa:10621
ncbi-gi:10636566	hsa:10741
ncbi-gi:1063674	hsa:3107
ncbi-gi:1063676	hsa:3107
ncbi-gi:10636826	hsa:3015
ncbi-gi:10636878	hsa:3015
ncbi-gi:10636932	hsa:4990
ncbi-gi:10637404	hsa:5170
ncbi-gi:10637824	hsa:11034
ncbi-gi:10639027	hsa:3106
ncbi-gi:10639030	hsa:3107
ncbi-gi:10644584	hsa:3156
ncbi-gi:10644790	hsa:3105
ncbi-gi:10645195	hsa:3012
ncbi-gi:1064908	hsa:3080
ncbi-gi:106507164	hsa:201475
ncbi-gi:106507204	hsa:653319
ncbi-gi:106507212	hsa:56936
ncbi-gi:106507239	hsa:81552
ncbi-gi:106507261	hsa:5408
ncbi-gi:106507301	hsa:5422
ncbi-gi:1065998	hsa:196
ncbi-gi:1066047	hsa:3126
ncbi-gi:1066340	hsa:6641
ncbi-gi:1066731	hsa:2841
ncbi-gi:1066733	hsa:2592
ncbi-gi:1066737	hsa:2592
ncbi-gi:1066739	hsa:2592
ncbi-gi:1066741	hsa:2592
ncbi-gi:1066743	hsa:2592
ncbi-gi:1066745	hsa:2592
ncbi-gi:1066747	hsa:2592
ncbi-gi:1066749	hsa:2592
ncbi-gi:1066751	hsa:2592
ncbi-gi:1066753	hsa:2592
ncbi-gi:1066756	hsa:3043
ncbi-gi:1066762	hsa:3043
ncbi-gi:1066765	hsa:3043
ncbi-gi:1066768	hsa:3043
ncbi-gi:1066771	hsa:3043
ncbi-gi:1066774	hsa:3043
ncbi-gi:1066777	hsa:3043
ncbi-gi:1066780	hsa:3043
ncbi-gi:106709162	hsa:136259
ncbi-gi:106775678	hsa:723790
ncbi-gi:106879085	hsa:3105
ncbi-gi:106879087	hsa:3106
ncbi-gi:106879204	hsa:283849
ncbi-gi:106879206	hsa:79697
ncbi-gi:106879210	hsa:6461
ncbi-gi:106880347	hsa:3106
ncbi-gi:106880532	hsa:3105
ncbi-gi:106880534	hsa:3105
ncbi-gi:106897053	hsa:3106
ncbi-gi:10696977	hsa:55064
ncbi-gi:10696978	hsa:55664
ncbi-gi:10697003	hsa:26298
ncbi-gi:10697004	hsa:26298
