qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
70	Boston University		69.70	74	59.4	63.7	14.3	85.9	75.2	28	13.2	26.9	19.3	24.3
72	The University of Sheffield		69.60	76.5	59.4	61.3	83	80.9	56.3	26	23.2	22.4	22.6	21.9
73	The University of Western Australia		69.20	79.5	55.9	40.5	99.9	87	64.9	26.5	21.2	26.2	24.3	23.4
74	The University of Nottingham		68.80	75.4	90	53.8	88.4	85.6	44.2	22.9	20.9	22.1	23.1	24.9
75	University of Southampton		68.80	72.1	59.4	62.3	90.1	80	58.4	20.6	31.1	15.8	24.5	16.5
76	University of Texas at Austin		68.70	97.2	62.5	22.1	60.1	32.2	66.2	41.9	43.2	19.4	40.4	37.4
77	University of California, San Diego (UCSD)		68.50	97.6	18.1	26.5	3.1	17.6	99.9	29.4	34.6	49.9	41.1	30.5
78	Washington University in St. Louis		68.50	58.9	6	99.8	13.7	53.6	98.3	15.7	9	32.5	15	17.2
79	Aarhus University		68.00	69.1	24.6	85.8	64.6	65.9	64.4	22	14.9	21.7	24.5	20.7
80	Utrecht University		68.00	81.7	23.1	49.5	58.6	17.6	89.8	30.2	14.1	25.1	32.3	24.4
80	Nagoya University		68.00	64.9	55.9	80.5	35.1	26.6	79.6	16.2	23	18.6	25.3	14.6
82	The University of Auckland		67.30	94	59.4	25.1	94.3	96	39.5	35.9	28.6	31.4	30.1	36.1
83	Uppsala University		67.20	82.5	19.2	38.8	79.3	22.2	90.9	28.2	15.3	28.4	30.2	25.6
84	Georgia Institute of Technology		67.10	73.3	59.4	20.3	51.1	87.3	98	11.3	53.7	9	24.4	12
85	Purdue University		67.10	81.5	67.5	36.4	96.2	63.8	55.7	18.7	40	20.7	25	21.2
86	Lund University		66.70	82.9	55.9	34.6	31.7	34.9	81.9	27.9	20.7	24.3	29.9	25.8
87	National Taiwan University (NTU)		66.60	96.5	55.9	36.2	18	17.2	60.7	38.2	36.4	32.1	38.5	31.7
88	Leiden University		66.60	84.4	15.2	27.2	73.5	21.9	99	41.7	9.2	24.3	29.5	27.2
89	University of Helsinki		66.30	80.6	20.9	72.9	31.9	12.9	69.6	32.3	15.5	26	25.4	24.7
90	KAIST - Korea Advanced Institute of Science & Technology		66.00	79.9	23.8	89.9	41	25.2	45.3	13.9	41.4	18.9	33.1	15.1
91	Fudan University		65.70	91.5	59.4	49.7	18.2	56.9	41.2	36.5	22.9	25.9	33.1	33.6
92	The University of Adelaide		65.70	75.1	59.4	35.2	94.6	94	59.8	24	18.4	25.9	23.7	21.7
93	University of Leeds		65.70	81.1	59.4	51.8	77	75.1	40.2	34.6	21.4	20.7	26.8	21.4
94	Pennsylvania State University		65.40	76.3	66.2	39.2	23.5	37.3	80.6	20.4	26.4	16	27.3	25.5
95	Durham University		65.20	66.2	90	46.3	92.4	73	54.7	29.9	9.4	12.8	26.5	21
96	University of York		65.20	67.4	59.4	59.5	87.4	85.5	52.4	32.1	12.8	17.7	16.6	22.1
97	University of St Andrews		65.10	59.7	59.4	68	96.2	99.9	53.2	31.2	10.4	13.6	20.5	14.7
98	Pohang University of Science And Technology (POSTECH)		65.10	55.8	17.3	97.7	69.9	11.5	80.9	6.3	27.7	16.5	29	5.6
99	Dartmouth College		64.90	44.6	59.4	86.9	10.4	48.2	97.9	21.7	7.8	12	8.8	20.2
100	University of Alberta		64.50	75.2	27.8	61.2	92.6	71.2	49.8	25.2	22.5	21.1	25.3	19.6
101	University of California, Davis		64.40	77.3	17.1	36.7	40.1	45.2	94.4	16.7	20.3	34.5	30.7	15.2
102	University of Minnesota		64.30	82.8	24.8	25	26.9	27.1	98.9	26.6	23.9	22.2	25.2	30.4
103	Erasmus University Rotterdam		64.00	54.6	59.4	46.6	51.8	74.4	96.9	13.2	8.3	21.8	9	31.3
104	Delft University of Technology		63.90	76.4	59.4	46.3	91.4	72.3	43.8	20.7	46	9.5	29.5	10.3
105	Universität Freiburg		63.70	69.3	2.4	90	62.4	56.5	52.8	32.4	11.3	21.7	21.4	17.4
106	University of Zurich		63.30	74.6	20.7	39.5	99.6	66.6	69.8	28.5	10.3	26.5	22.2	25.2
107	University of Southern California		63.20	61.7	25	73.6	49.6	87.6	66.3	23.9	20.5	15.7	13	19.9
108	University of Oslo		62.90	70.3	10.8	91.2	41.7	66.3	44	27.6	10.9	19.5	22	25.7
109	Maastricht University		62.50	37.5	55.9	72.4	82.3	99.9	85.5	9.6	4.5	19.1	5.7	22.5
110	City University of Hong Kong		62.00	72.2	18.7	67.7	100	76.6	38.6	29.9	20.5	11.8	18.9	27.6
111	Ohio State University		61.50	73.9	55.9	35.9	65.2	31.4	65.9	26.1	18.8	19.8	23	23.7
112	Lomonosov Moscow State University		61.30	77.3	59.4	100	5.4	37.4	5.5	23.4	18.6	15.5	39.7	17.9
113	University of Maryland, College Park		61.00	67.3	20.3	60.2	38.2	30.6	76.8	17	21.1	13.4	27.4	22.3
114	Emory University		60.40	37.3	37.9	88.6	27.4	43.5	96.5	19.1		19.2	7.4	15.6
115	University of Groningen		60.40	60.4	25.1	66.9	80.7	55.4	61.7	21.4	11.2	18.6	21	19.1
116	University of Pittsburgh		60.30	49.6	8.2	90.7	59	24.8	80.5	24.4	10.4	18.7	8.6	15
117	Rice University		60.20	47.1	12.9	80.2	25.5	66.7	91.3	18.4	16.5	6.2	21.1	11.6
118	University of California, Santa Barbara (UCSB)		59.90	79.7	3.2	15.4	42.6	30.8	98.8	23.6	26.4	14.7	41	16.4
119	Université Pierre et Marie Curie (UPMC)		59.80	67.7	7.9	76.4	31.4	80.3	49.5	9.3	21.6	23.9	42.1	4.9
120	Hebrew University of Jerusalem		59.40	65	7.2	62.9	45.1	20.8	78.1	21.2	13.9	17	23.5	22.1
121	University of Bergen		59.30	47	12.4	77.1	91.3	66.8	73.8	19.7	7.7	12.7	15	18.6
122	Kyushu University		58.90	56.4	55.9	95.7	15.3	25.6	41.9	13.8	20.3	16.6	21.5	13.7
123	University of Liverpool		58.80	54	55.9	61.9	92.4	72.6	49.3	17.9	15.6	20	18.2	11.1
124	Shanghai Jiao Tong University		58.30	80.4	55.9	52.4	20.7	20.9	34.4	18.2	37.8	20.6	25	21.9
125	Université Catholique de Louvain (UCL)		57.80	72.2	23	16.2	58.3	67.1	80.1	26.2	16.6	17.3	22.5	26.2
