Annual Giving
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of Oklahoma Health Sciences Center	19975	208	113	27107	183	98	27782	181	98	24301	187	102	23065	174	94
Public	University of Oregon	99539	59	32	88473	76	45	101251	55	30	70509	76	42	60756	81	47
Private	University of Pennsylvania	439769	3	3	475958	5	5	392421	6	6	409495	4	4	394250	4	3
Public	University of Pittsburgh - Pittsburgh	100585	58	31	126923	49	25	121137	47	24	116551	44	21	98882	48	25
Public	University of Rhode Island	13511	284	145	12883	320	156	12618	313	147	10375	362	162	13609	268	135
Private	University of Rochester	64196	93	38	100668	62	28	80943	73	30	65990	83	37	66265	73	33
Public	University of South Carolina - Columbia	75829	81	47	77280	89	51	47117	119	69	52273	104	61	69265	68	37
Public	University of South Florida	34011	148	85	44683	131	77	56826	101	57	46347	116	70	22734	180	97
Private	University of Southern California	368981	6	6	409183	9	7	469647	3	3	405745	5	5	331754	6	5
Public	University of Southern Mississippi	4291	602	249	4100	673	264									
Public	University of Tennessee - Knoxville	89312	68	40	97077	69	40	85868	68	41	98767	50	25	68871	69	38
Public	University of Texas - Austin	238004	21	9	282865	20	9	228759	23	10	176497	28	12	140239	29	13
Public	University of Texas Health Science Center - Houston	37643	134	82	33686	163	88	37660	142	82	35661	136	81	37742	122	74
Public	University of Texas Health Science Ctr - San Antonio	39240	129	80	119815	55	30	55205	104	58	24494	185	101	33947	134	78
Public	University of Texas MD Anderson Cancer Center	92779	63	35	105127	59	33	142313	40	19	96225	53	27	79278	62	35
Public	University of Texas Medical Branch - Galveston	28399	165	92	33772	162	87	50266	112	65	36250	133	79	33102	137	80
Public	University of Texas SW Medical Center - Dallas	114936	48	24	145279	43	21	166326	34	16	135819	36	18	103213	44	22
Public	University of Utah	106856	52	27	116688	57	32							136412	30	14
Public	University of Vermont	26668	171	96	26345	189	99	28671	175	97	19586	223	112	29432	150	83
Public	University of Virginia	233473	23	11	270785	21	10	282611	18	6	216353	21	8	174371	22	10
Public	University of Washington - Seattle	323545	11	3	302771	15	5	300200	13	3	316252	11	3	259119	13	5
Public	University of Wisconsin - Madison	341805	9	2	410227	8	2	325337	12	2	325938	9	1	595216	2	1
Public	US Air Force Academy															
Public	US Naval Postgraduate School															
Public	Utah State University	30677	159	90	27446	181	96	25982	196	104	31308	152	88	17040	228	117
Private	Vanderbilt University	160414	33	19	133381	47	24	137273	41	22	114909	45	24	109053	40	20
Public	Virginia Commonwealth University	61143	98	60	99681	66	37	53205	109	62	65107	87	50	36132	127	76
Public	Virginia Polytechnic Institute and State University	78626	78	46	89804	73	43	81601	72	43	74773	68	38	73844	66	36
Private	Wake Forest University	60135	100	39	72455	96	40	69246	83	34	75397	66	30	74442	65	30
Public	Washington State University - Pullman	60169	99	61	74051	94	55	59907	94	52	51356	105	62	46006	103	61
Private	Washington University in St. Louis	152947	36	21	153564	42	22	158213	36	19	126390	39	20	118997	37	18
Public	Wayne State University	39435	128	79	54275	118	71	96551	59	34	49832	110	65			
Public	West Virginia University	57025	105	62	62063	105	62	86217	67	40	60934	91	53	41378	110	67
Private	Woods Hole Oceanographic Institution	10606	334	177												
Private	Yale University	358148	7	7	486610	4	4	391315	7	7	433462	3	3	285707	9	7
Private	Yeshiva University	102327	55	27	137359	46	23									
