Endowment Assets
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	University of California - Riverside	 99633 	 344 	 126 	 122590 	 343 	 127 	 120541 	 360 	 129 	 95652 	 369 	 132 	 83944 	 380 	 131 
Public	University of California - San Diego	 431717 	 133 	 49 	 525555 	 137 	 50 	 522842 	 136 	 48 	 422454 	 137 	 48 	 351678 	 140 	 49 
Public	University of California - San Francisco	 1110642 	 49 	 17 	 1306438 	 54 	 17 	 1362656 	 52 	 17 	 1157829 	 50 	 15 	 1055199 	 50 	 16 
Public	University of California - Santa Barbara	 154438 	 260 	 94 	 191056 	 265 	 97 	 190038 	 285 	 105 	 151836 	 292 	 109 	 125093 	 312 	 115 
Public	University of California - Santa Cruz	 94522 	 354 	 129 	 115752 	 357 	 132 	 117774 	 366 	 131 	 97450 	 363 	 129 	 89991 	 369 	 128 
Public	University of Central Florida	 91951 	 359 	 131 	 114990 	 362 	 135 	 116291 	 370 	 134 	 96417 	 366 	 131 	 79737 	 387 	 134 
Private	University of Chicago	 5094087 	 11 	 9 	 6632311 	 10 	 8 	 6204189 	 11 	 9 	 4867003 	 13 	 10 	 4137494 	 14 	 11 
Public	University of Cincinnati - Cincinnati	 832924 	 69 	 22 	 1099127 	 63 	 21 	 1185400 	 60 	 20 	 1101100 	 55 	 18 	 1032124 	 52 	 17 
Public	University of Colorado - Boulder	 335217 	 152 	 59 	 407201 	 159 	 63 	 404648 	 163 	 63 	 295153 	 185 	 69 	 256186 	 186 	 69 
Public	University of Colorado Health Sciences Center	 244441 	 204 	 78 	 296933 	 204 	 78 	 295360 	 205 	 78 	 182995 	 252 	 90 	 158835 	 256 	 94 
Public	University of Connecticut - Health Center	 67491 	 429 	 147 	 86945 	 413 	 149 	 111522 	 381 	 136 	 97360 	 364 	 130 	 86370 	 375 	 130 
Public	University of Connecticut - Storrs	187193	231	85	241187	227	85	226423	248	93	197671	236	85	175356	241	89
Private	University of Dayton	 319997 	 159 	 96 	 391101 	 163 	 99 	 410355 	 157 	 98 	 353424 	 155 	 97 	 324359 	 148 	 95 
Public	University of Delaware	 1008444 	 56 	 19 	 1340145 	 53 	 16 	 1397492 	 51 	 16 	 1223203 	 48 	 14 	 1077102 	 49 	 15 
Public	University of Florida	 1010590 	 55 	 18 	 1250603 	 58 	 19 	 1219026 	 58 	 19 	 996245 	 60 	 20 	 835698 	 64 	 21 
