Systematic Name	Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
176083	2.13	1.22	2.3
150921	1.58	1.01	0.77
116882	1.58	1.03	1.64
172785	1.6	1.06	1.35
229397	1.51	1.06	1.96
155797	1.15	0.98	1.53
116678	1.6	0.98	1.53
174855	1.95	0.98	1.74
181759	2.28	1.01	2.69
108451	2.56	1.09	1.36
104245	2.2	1.19	2.31
131693	2.18	0.92	1.43
144606	1.64	0.96	1.4
191292	1.55	0.99	1.16
162998	1.29	1.01	1.1
111836	0.88	0.86	1.21
208277	0.79	1.03	1.92
208774	2.28	1	1.59
115184	1.66	1.05	1.67
231711	1.02	0.97	1.69
235617	1.45	1.02	1.2
171969	1.21	0.95	1.11
159365	2.77	0.99	1.23
102397	1.44	1.01	1.4
236295	2.13	1.17	1.18
169607	2.08	1.16	1.36
184933	1.31	1.03	1.33
206703	2.57	0.86	1.95
216535	0.97	1.08	1.2
206833	1.92	1.17	1.48
147923	1.54	1.1	1.49
198510	1.1	0.98	1.66
138947	1.51	1.01	1.36
520680	1.48	0.98	1.38
230080	2.09	1.02	1.55
210319	2.18	1.01	1.68
177026	1.56	0.82	1.41
170090	2.28	1.02	1.87
175296	1.61	0.88	1.33
119636	1.82	1.06	1.2
236278	1.55	1.04	1.56
160490	1.78	0.98	1.35
203873	1.97	1.07	1.64
236458	1.63	0.91	1.19
127871	1.97	1.06	1.47
147541	2.1	0.99	3.02
460762	2.16	0.96	2.8
234954	1.51	0.97	1.65
103810	1.54	1.1	1.67
207747	2.01	1.02	2.06
161054	1.16	0.96	1.01
150696	1.87	1.03	0.76
163728	1.99	0.93	1.65
227367	1.39	0.97	1.81
163700	1.76	0.88	1.92
113660	1.64	0.96	1.46
171937	1.49	1.01	1.01
102249	1.78	0.97	1.4
142959	1.11	0.88	1.77
135639	2.43	1.05	1.7
144711	1.68	1.05	1.79
182827	1.5	1.08	1.48
167726	3.8	1.27	1.71
155861	1.3	1.22	1.94
142746	2.69	0.82	1.12
197267	1.64	0.96	1.44
203866	1.71	0.99	1.61
114255	1.9	1.02	1.32
105120	1.75	0.96	1.73
119802	2.23	0.89	2.07
128405	0.14	0.99	0.54
116825	1.36	0.91	1.36
199887	0.93	0.99	0.83
102483	1.38	0.86	1.21
235600	1.39	1.03	1.23
155235	1.52	1.09	1.44
208158	0.82	0.93	0.97
183150	1.97	1.02	1.29
703414	0.81	1.04	0.79
206569	2.47	1.08	1.48
108678	1.93	1.06	2.47
112937	1.13	0.99	0.77
130427	1.88	0.79	1.07
217806	2.11	1.04	1.36
124095	1.42	1.01	1.05
