Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000020375	623.9745	742.72235	561.64185	419.8721	531.1234	519.74524	
ENSMUSG00000018821	886.505	1192.0082	870.3921	1516.2985	1556.268	1576.4176	
ENSMUSG00000078116	114.62382	83.45711	78.19342	158.7371	137.9179	136.16368	
ENSMUSG00000036887	8329.693	9550.335	7744.2715	10837.284	11166.083	7827.725	
ENSMUSG00000078658	26.468685	40.816578	26.663422	28.486841	50.39342	166.12657	
ENSMUSG00000039097	28.580395	22.611185	16.188421	33.72329	65.50552	63.351578	
ENSMUSG00000081819	664.69366	707.72186	800.2953	858.2879	666.24554	1036.3823	
ENSMUSG00000069713	34.623554	54.72342	70.286575	126.61868	38.16579	83.4025	
ENSMUSG00000033715	8873.181	9610.407	8807.14	5072.575	5328.9287	6276.643	
ENSMUSG00000014542	2271.8667	1272.2882	1664.4135	942.9926	536.63947	1042.559	
ENSMUSG00000034525	435.41525	768.82263	547.42053	445.115	480.64368	416.0892	
ENSMUSG00000035890	42.379475	45.374737	35.60342	79.56895	148.62566	83.64263	
ENSMUSG00000003778	86.18303	99.86723	64.35684	56.769077	39.49724	55.512367	
ENSMUSG00000024135	37.828686	41.407104	39.135788	38.31987	31.780527	60.863552	
ENSMUSG00000073915	61.891052	60.191315	50.023685	61.65579	83.31342	232.15184	
ENSMUSG00000073700	534.6069	678.81396	609.76105	698.21686	707.926	957.89813	
ENSMUSG00000014470	5595.266	5339.269	6822.93	8045.674	7388.0654	6451.6724	
ENSMUSG00000055114	638.88446	939.76447	778.4597	757.3592	737.835	605.801	
ENSMUSG00000038418	999.51025	630.9974	1225.8297	765.1371	641.28973	738.5715	
ENSMUSG00000018698	39.32974	37.842632	29.744211	38.40342	173.40869	49.27158	
ENSMUSG00000015890	3096.9343	4228.5273	2435.5415	2870.794	4029.2883	5392.597	
ENSMUSG00000056529	52.186844	83.54145	42.764606	45.727104	23.611317	42.08184	
ENSMUSG00000018995	51.261578	34.783817	26.240131	39.49605	36.157238	22.513683	
ENSMUSG00000078664	38.32342	38.76263	30.922895	28.270658	20.15763	55.500526	
ENSMUSG00000043089	44.10079	25.34592	32.13487	58.39145	67.60316	50.5675	
ENSMUSG00000034377	56.008945	33.008816	39.89974	22.032104	48.80579	29.268684	
ENSMUSG00000027339	29.437632	26.854605	35.27434	41.27474	56.60026	23.69	
ENSMUSG00000038304	54.511185	88.2225	50.572105	80.558945	28.14842	73.9	
ENSMUSG00000038239	36.696053	42.613686	56.15421	70.1025	37.306316	18.696579	
ENSMUSG00000029015	43.31526	37.321842	61.312893	37.35816	55.46263	90.600655	
ENSMUSG00000036110	1271.1942	1331.4292	1013.4103	825.7908	1355.4547	1302.8982	
ENSMUSG00000017493	51.04079	63.954475	70.46105	44.40605	85.70644	42.01013	
ENSMUSG00000047786	29.577631	36.664078	50.12	58.99671	49.137764	40.97158	
ENSMUSG00000028842	62.117237	55.63487	37.836185	65.54842	59.120525	77.961975	
ENSMUSG00000040354	938.90186	1473.6357	936.3724	732.87976	638.88446	802.95685	
ENSMUSG00000027883	380.1279	191.68158	287.45844	121.76789	249.10658	202.61157	
ENSMUSG00000033628	410.97552	414.3434	236.01816	351.82764	287.17685	424.25552	
ENSMUSG00000049173	57.751316	30.43829	55.340263	43.189472	76.60408	35.518684	
ENSMUSG00000037361	43.501053	59.905	40.337368	85.05789	42.005264	80.59645	
ENSMUSG00000031922	304.62604	394.61288	429.79816	504.2755	338.18854	397.5	
ENSMUSG00000044576	41.91592	70.24592	45.82316	38.303814	38.632896	49.425133	
ENSMUSG00000001260	38.775528	43.855263	61.49263	50.467106	47.94329	25.256052	
ENSMUSG00000031294	43.732105	60.396053	33.002632	63.891052	91.78553	55.67934	
ENSMUSG00000022792	470.85526	850.6984	508.23236	376.95078	320.26474	519.5779	
ENSMUSG00000073374	56.548683	60.236183	48.86487	66.24223	56.291973	65.75868	
ENSMUSG00000061241	37.38684	34.52921	54.038685	42.795525	30.048422	64.311844	
ENSMUSG00000028837	85.977104	58.86842	42.326973	125.16631	45.505	40.308815	
ENSMUSG00000071347	71.53868	44.81237	35.937893	50.356712	28.876842	74.41816	
ENSMUSG00000018334	196.66026	320.26474	252.5808	297.44394	326.76788	189.28131	
ENSMUSG00000034063	43.247765	42.24566	63.91421	82.91947	27.995	28.044737	
ENSMUSG00000069722	1676.0284	1085.0594	1793.3406	1127.6494	1291.7213	1305.3748	
ENSMUSG00000022315	68.45079	40.003815	66.70921	45.12184	47.09671	48.52237	
ENSMUSG00000078681	319.16895	226.54158	373.2187	189.59973	535.1758	396.87473	
ENSMUSG00000039795	43.36013	55.379078	35.514606	50.895527	38.602367	24.811052	
ENSMUSG00000036523	27.26921	44.137104	45.59987	82.83816	39.49724	53.050526	
ENSMUSG00000050860	281.2866	156.24408	246.40526	237.37697	352.2184	131.47777	
ENSMUSG00000051817	52.622368	46.027103	50.943554	38.753685	76.97474	39.401054	
ENSMUSG00000070780	3980.6973	3805.699	4720.321	4088.5576	4387.357	4551.4307	
ENSMUSG00000025288	29.322369	36.916843	51.873684	50.134735	50.606052	32.428684	
ENSMUSG00000038007	71.855	41.619473	42.511314	36.90829	52.835922	58.72316	
ENSMUSG00000053338	48.118156	25.393421	37.945526	20.363947	44.361843	70.51974	
ENSMUSG00000031785	508.97052	668.33	613.5608	997.8826	1159.7639	470.47552	
ENSMUSG00000045052	94.61842	116.018684	101.40184	68.37605	84.289734	91.475	
ENSMUSG00000035960	3452.3323	3764.1147	3285.9756	3145.4072	3247.111	3636.4255	
ENSMUSG00000027620	175.56184	153.0746	128.60263	177.31763	79.54066	232.48921	
ENSMUSG00000032705	478.51212	565.08606	507.54315	420.92764	459.55078	291.00394	
ENSMUSG00000049436	80.20145	57.03421	36.323685	82.052895	35.981316	54.62895	
ENSMUSG00000073520	672.1718	647.0434	666.24554	517.0079	588.3687	590.24713	
ENSMUSG00000028059	27.612236	57.85737	40.78579	38.857105	53.969738	66.84171	
ENSMUSG00000001865	47.72921	39.05237	38.215527	47.827896	32.97342	77.27579	
